time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/reward,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss
887,2048,1,2,-0.39894804,,,,,,,,,,,
830,4096,2,4,0.33779344,-0.0008661746978759766,0.995627760887146,0.00025,10,0.014266636,165.8285280227661,0.2,0.183251953125,-2.836314782500267,-0.021084399115352426,65.01827239990234
825,6144,3,7,-1.2412148,0.03400391340255737,0.9933698177337646,0.00025,20,0.009129958,388.80219707489016,0.2,0.105029296875,-2.825899747014046,-0.00972859268222237,164.28939819335938
822,8192,4,9,0.8537077,0.020831286907196045,0.9907134175300598,0.00025,30,0.008910166,694.5588176727294,0.2,0.09306640625,-2.8223729521036147,-0.010917170718312264,340.1597595214844
818,10240,5,12,7.9840302,0.012324035167694092,0.9843661785125732,0.00025,40,0.0052009895,1047.8433856964111,0.2,0.02666015625,-2.8122158840298654,-0.0038804268566309474,508.6631164550781
818,12288,6,15,3.0126438,0.007903337478637695,0.984253466129303,0.00025,50,0.0039192517,808.1659332275391,0.2,0.03095703125,-2.805011074244976,-0.003666095083463006,361.21612548828125
815,14336,7,17,5.5281596,0.005101501941680908,0.9791082143783569,0.00025,60,0.0040458213,1006.8765861511231,0.2,0.022216796875,-2.7998437389731405,-0.003033465993939899,470.6427307128906
812,16384,8,20,2.9721794,0.005480527877807617,0.9742287993431091,0.00025,70,0.0062646302,970.4148097991944,0.2,0.0515625,-2.78908252120018,-0.005252568854484707,471.0022888183594
812,18432,9,22,10.251704,0.003428518772125244,0.966414213180542,0.00025,80,0.0048281145,1052.6159317016602,0.2,0.01455078125,-2.776313325762749,-0.0027556665037991477,465.3059997558594
810,20480,10,25,0.04781434,0.0018636584281921387,0.9612895250320435,0.00025,90,0.003957892,1001.3452495574951,0.2,0.015283203125,-2.762193939089775,-0.001178116735536605,472.1104431152344
809,22528,11,27,20.85775,0.0017496347427368164,0.9627752304077148,0.00025,100,0.0051321895,979.3176246643067,0.2,0.02734375,-2.7569080352783204,-0.0031539491828880273,471.3360900878906
808,24576,12,30,2.6490386,0.001574099063873291,0.9636207222938538,0.00025,110,0.0025788085,945.5049491882324,0.2,0.00615234375,-2.7599319934844972,-0.0015194347390206531,439.04986572265625
808,26624,13,32,0.76943266,0.0016311407089233398,0.968967080116272,0.00025,120,0.0041352455,940.2539863586426,0.2,0.0263671875,-2.7657718807458878,-0.0028512219301774166,482.2637939453125
807,28672,14,35,-1.464864,0.0008698105812072754,0.9669628143310547,0.00025,130,0.0019640592,985.5033897399902,0.2,0.0138671875,-2.769879165291786,-0.0010845571610843762,505.587158203125
805,30720,15,38,0.69523054,0.0008915066719055176,0.9643228054046631,0.00025,140,0.008022977,854.2698574066162,0.2,0.086181640625,-2.764823940396309,-0.008090741035994142,386.93450927734375
805,32768,16,40,6.5079317,0.0007978081703186035,0.9713932275772095,0.00025,150,0.0058837766,853.361739730835,0.2,0.050244140625,-2.7682884842157365,-0.003175500592624303,421.70501708984375
805,34816,17,43,3.123923,0.0005015730857849121,0.9759429693222046,0.00025,160,0.00342577,850.7215328216553,0.2,0.015673828125,-2.7819537952542306,-0.00111099688365357,387.1012268066406
804,36864,18,45,4.929332,0.0003795623779296875,0.9774101972579956,0.00025,170,0.0038903481,745.8282665252685,0.2,0.018603515625,-2.787383833527565,-0.002379656472476199,362.8980712890625
804,38912,19,48,3.8489196,0.0004456043243408203,0.9836024641990662,0.00025,180,0.0018026573,811.4968559265137,0.2,0.007421875,-2.794068142771721,-0.0014356128303916194,382.8418273925781
804,40960,20,50,13.058369,0.00038373470306396484,0.9853413105010986,0.00025,190,0.00466475,815.7801910400391,0.2,0.035107421875,-2.801270791888237,-0.0008441396785201505,389.392822265625
803,43008,21,53,0.039448604,0.0002911686897277832,0.9861524105072021,0.00025,200,0.0063410006,736.101675415039,0.2,0.024365234375,-2.802684724330902,-0.0012493274407461286,371.1238098144531
803,45056,22,56,23.073885,0.00018846988677978516,0.9808248281478882,0.00025,210,0.0037583609,756.390124130249,0.2,0.017138671875,-2.798299764096737,-0.0012338920845650137,332.6045227050781
803,47104,23,58,2.8090966,0.00014483928680419922,0.9745081663131714,0.00025,220,0.004695567,780.4607162475586,0.2,0.04130859375,-2.7868717849254607,-0.0028150830243248493,365.8358459472656
802,49152,24,61,0.65524536,9.500980377197266e-05,0.967284083366394,0.00025,230,0.004250357,671.6648654937744,0.2,0.046923828125,-2.7720219030976296,-0.0039684832896455195,298.12744140625
803,51200,25,63,-1.7020744,0.00011879205703735352,0.9641383290290833,0.00025,240,0.0044643325,782.6068634033203,0.2,0.03134765625,-2.7610032603144647,-0.0022270000743446873,370.00115966796875
803,53248,26,66,0.3800302,8.475780487060547e-05,0.9679200649261475,0.00025,250,0.003834324,716.1466697692871,0.2,0.040234375,-2.760887770354748,-0.0033068340591853483,305.0968322753906
802,55296,27,68,8.6847,7.867813110351562e-05,0.9644666314125061,0.00025,260,0.0040504048,721.2054718017578,0.2,0.020166015625,-2.7608893528580665,-0.0016554310568608344,306.6681213378906
802,57344,28,71,2.8532302,6.312131881713867e-05,0.963118851184845,0.00025,270,0.0047119176,709.3376502990723,0.2,0.02421875,-2.75499682277441,-0.0004998541247914545,356.8591003417969
802,59392,29,74,5.3454475,4.094839096069336e-05,0.9673910737037659,0.00025,280,0.0030010147,658.2967601776123,0.2,0.046484375,-2.7583708629012107,-0.0023763302582665347,317.3083801269531
802,61440,30,76,3.5754602,5.543231964111328e-05,0.9720133543014526,0.00025,290,0.004512408,641.7166921615601,0.2,0.025439453125,-2.7678103730082513,-0.00039916816167533397,293.9136657714844
802,63488,31,79,12.501128,2.7120113372802734e-05,0.9736124873161316,0.00025,300,0.002390259,628.6612735748291,0.2,0.014453125,-2.7723736107349395,-0.0007350499538006261,269.6097412109375
802,65536,32,81,0.044076256,4.3511390686035156e-05,0.9812410473823547,0.00025,310,0.004278889,657.0581914901734,0.2,0.035595703125,-2.7813651144504545,-0.0009399015631061048,281.8196716308594
