,0
Annual return,0.3212601226971956
Cumulative returns,0.4498322974853568
Annual volatility,0.1392727733354904
Sharpe ratio,2.0769224809065365
Calmar ratio,3.6520237440220673
Stability,0.9490857090554257
Max drawdown,-0.0879676982448596
Omega ratio,1.4309913121590894
Sortino ratio,3.071540471505185
Skew,
Kurtosis,
Tail ratio,1.1028945098168024
Daily value at risk,-0.01639886792800406
