,Market Return,Risk Free
1871-06,0.045553145336225676,0.012755
1871-09,0.004149377593360981,0.01012
1871-12,-0.02066115702479332,0.013663
1872-03,0.06329113924050622,0.020924
1872-06,0.017857142857142794,0.018002
1872-09,-0.03508771929824561,0.012201
1872-12,0.024242424242424176,0.021057
1873-03,0.007889546351084853,0.022894
1873-06,-0.02544031311154593,0.021322
1873-09,-0.07831325301204828,0.014039
1873-12,-0.03703703703703698,0.030532
1874-03,0.07013574660633504,0.020614
1874-06,-0.05708245243128973,0.012511
1874-09,0.017937219730941756,0.011227
1874-12,0.0,0.012755
1875-03,0.011013215859030812,0.012201
1875-06,-0.04575163398692805,0.01198
1875-09,-0.0022831050228310223,0.008991
1875-12,0.0,0.011958
1876-03,0.03203661327231111,0.013552
1876-06,-0.07982261640798216,0.010851
1876-09,-0.110843373493976,0.009434
1876-12,-0.02981029810298097,0.009434
1877-03,-0.11452513966480449,0.011936
1877-06,-0.13880126182965302,0.008748
1877-09,0.18681318681318682,0.007907
1877-12,0.0030864197530864335,0.013043
1878-03,-0.003076923076922977,0.01136
1878-06,0.05246913580246915,0.010253
1878-09,0.032258064516129004,0.007353
1878-12,-0.019886363636363535,0.009146
1879-03,0.05797101449275344,0.01012
1879-06,0.08493150684931505,0.01012
1879-09,0.06565656565656552,0.008327
1879-12,0.16587677725118488,0.011714
1880-03,0.0772357723577235,0.012091
1880-06,-0.0962264150943396,0.011095
1880-09,0.08141962421711901,0.008991
1880-12,0.12741312741312738,0.010541
1881-03,0.06849315068493156,0.012201
1881-06,0.054487179487179516,0.011205
1881-09,-0.050151975683890626,0.006667
1881-12,-0.03839999999999999,0.011515
1882-03,-0.038269550748752046,0.012755
1882-06,-0.01730103806228378,0.011404
1882-09,0.09859154929577474,0.010253
1882-12,-0.06410256410256421,0.013862
1883-03,-0.015410958904109595,0.011936
1883-06,0.012173913043478368,0.013043
1883-09,-0.04982817869415812,0.011095
1883-12,-0.034358047016274984,0.012201
1884-03,-0.0074906367041198685,0.011095
1884-06,-0.1584905660377358,0.009146
1884-09,0.029147982062780242,0.011648
1884-12,-0.05446623093681913,0.011095
1885-03,0.009216589861751112,0.009988
1885-06,-0.0182648401826484,0.008814
1885-09,0.08139534883720945,0.006778
1885-12,0.11827956989247301,0.00722
1886-03,-0.0019230769230769162,0.008881
1886-06,0.01156069364161838,0.007486
1886-09,0.049523809523809526,0.007442
1886-12,0.023593466424682408,0.011781
1887-03,0.005319148936170359,0.012135
1887-06,0.010582010582010692,0.010762
1887-09,-0.061082024432809856,0.010275
1887-12,-0.020446096654275103,0.014282
1888-03,-0.03605313092979123,0.012201
1888-06,-0.013779527559055205,0.010475
1888-09,0.07385229540918159,0.008327
1888-12,-0.044609665427509326,0.010608
1889-03,0.009727626459144156,0.009921
1889-06,0.042389210019267765,0.008881
1889-09,0.01663585951940849,0.007508
1889-12,-0.032727272727272716,0.010608
1890-03,-0.007518796992481258,0.012401
1890-06,0.05681818181818188,0.011095
1890-09,-0.04659498207885304,0.009988
1890-12,-0.13533834586466176,0.011648
1891-03,0.04565217391304355,0.015146
1891-06,0.008316008316008316,0.010541
1891-09,0.09896907216494855,0.011095
1891-12,0.015009380863039379,0.011714
1892-03,0.031423290203327126,0.009611
1892-06,-0.007168458781361964,0.00773
1892-09,-0.010830324909747224,0.005449
1892-12,0.005474452554744325,0.009346
1893-03,-0.03629764065335761,0.011095
1893-06,-0.13182674199623334,0.013972
1893-09,-0.05206073752711504,0.01767
1893-12,0.009153318077803174,0.017249
1894-03,0.0226757369614512,0.007021
1894-06,-0.037694013303769425,0.005626
1894-09,0.032258064516129226,0.005361
1894-12,-0.04017857142857151,0.00618
1895-03,-0.025581395348837077,0.005294
1895-06,0.12171837708830546,0.007575
1895-09,0.025531914893617058,0.004719
1895-12,-0.10373443983402486,0.00784
1896-03,0.01388888888888884,0.009434
1896-06,-0.013698630136986245,0.010475
1896-09,-0.07175925925925941,0.008327
1896-12,0.052369077306733125,0.017293
1897-03,-0.007109004739336289,0.007176
1897-06,0.01909307875894961,0.006291
1897-09,0.16627634660421564,0.005826
1897-12,-0.04618473895582342,0.007995
1898-03,-0.021052631578947323,0.00649
1898-06,0.08817204301075243,0.009213
1898-09,0.03952569169960474,0.006091
1898-12,0.07414448669201534,0.008017
1899-03,0.1327433628318584,0.005626
1899-06,-0.051562499999999956,0.007464
1899-09,0.0494233937397035,0.006246
1899-12,-0.05494505494505508,0.009855
1900-03,0.039867109634551534,0.011936
1900-06,-0.0638977635782747,0.009722
1900-09,-0.010238907849829393,0.007065
1900-12,0.18448275862068964,0.008527
1901-03,0.09315866084425029,0.009434
1901-06,0.13182423435419444,0.00722
1901-09,-0.05882352941176472,0.007641
1901-12,-0.006249999999999978,0.009855
1902-03,0.03144654088050314,0.009855
1902-06,0.025609756097561,0.008527
1902-09,0.05231866825208087,0.008748
1902-12,-0.09039548022598853,0.011338
1903-03,0.003726708074534013,0.012201
1903-06,-0.11138613861386137,0.011338
1903-09,-0.09888579387186625,0.010165
1903-12,0.015455950540958385,0.012201
1904-03,-0.013698630136986245,0.011869
1904-06,0.004629629629629539,0.009279
1904-09,0.12442396313364057,0.00691
1904-12,0.12704918032786883,0.00846
1905-03,0.09696969696969715,0.008394
1905-06,-0.04972375690607744,0.007619
1905-09,0.07325581395348846,0.00722
1905-12,0.03358613217768136,0.009368
1906-03,0.002096436058700357,0.011781
1906-06,-0.027196652719665204,0.010608
1906-09,0.07849462365591386,0.010541
1906-12,-0.018943170488534333,0.013441
