date,IVV,IEF
10/6/09,0.882707333,0.117292667
10/7/09,0.882351213,0.117648787
10/8/09,0.883515602,0.116484398
10/9/09,0.885103491,0.114896509
10/12/09,0.885257662,0.114742338
10/13/09,0.884837397,0.115162603
10/14/09,0.887264749,0.112735251
10/15/09,0.887927727,0.112072273
10/16/09,0.886721597,0.113278403
10/19/09,0.887409007,0.112590993
10/20/09,0.886688087,0.113311913
10/21/09,0.885929698,0.114070302
10/22/09,0.88722093,0.11277907
10/23/09,0.886629297,0.113370703
10/26/09,0.886019628,0.113980372
10/27/09,0.884751179,0.115248821
10/28/09,0.882482489,0.117517511
10/29/09,0.885110498,0.114889502
10/30/09,0.884364992,0.115635008
11/2/09,0.886129293,0.113870707
11/2/09,0.886129293,0.113870707
11/3/09,0.886688629,0.113311371
11/4/09,0.887089464,0.112910536
11/5/09,0.888997322,0.111002678
11/6/09,0.889025261,0.110974739
11/9/09,0.891150937,0.108849063
11/10/09,0.891049707,0.108950293
11/11/09,0.89129208,0.10870792
11/12/09,0.890277688,0.109722312
11/13/09,0.890780562,0.109219438
11/16/09,0.891600634,0.108399366
11/17/09,0.891476771,0.108523229
11/18/09,0.89169283,0.10830717
11/19/09,0.890271103,0.109728897
11/20/09,0.890068456,0.109931544
11/23/09,0.891394709,0.108605291
11/24/09,0.890942519,0.109057481
11/25/09,0.890982299,0.109017701
11/27/09,0.889001765,0.110998235
11/30/09,0.887791752,0.112208248
12/1/09,0.889700513,0.110299487
12/2/09,0.890007748,0.109992252
12/3/09,0.889637774,0.110362226
12/4/09,0.89089253,0.10910747
12/7/09,0.890476777,0.109523223
12/8/09,0.889096266,0.110903734
12/9/09,0.889584571,0.110415429
12/10/09,0.890491765,0.109508235
12/11/09,0.89138338,0.10861662
12/14/09,0.892039502,0.107960498
12/15/09,0.891883425,0.108116575
12/16/09,0.892064425,0.107935575
12/17/09,0.889968576,0.110031424
12/18/09,0.891066715,0.108933285
12/21/09,0.892947494,0.107052506
12/22/09,0.893745719,0.106254281
12/23/09,0.894023645,0.105976355
12/24/09,0.894363059,0.105636941
12/28/09,0.89478449,0.10521551
12/29/09,0.894585228,0.105414772
12/30/09,0.894340198,0.105659802
12/31/09,0.894526013,0.105473987
1/4/10,0.895824933,0.104175067
1/5/10,0.895686562,0.104313438
1/6/10,0.896137247,0.103862753
1/7/10,0.896543625,0.103456375
1/8/10,0.89674389,0.10325611
1/11/10,0.896810224,0.103189776
1/12/10,0.895281311,0.104718689
1/13/10,0.896462948,0.103537052
1/14/10,0.896301083,0.103698917
1/15/10,0.894824184,0.105175816
1/19/10,0.896141115,0.103858885
1/20/10,0.894890164,0.105109836
1/21/10,0.892663976,0.107336024
1/22/10,0.890467424,0.109532576
1/25/10,0.891169155,0.108830845
1/26/10,0.890515637,0.109484363
1/27/10,0.891236535,0.108763465
1/28/10,0.89009539,0.10990461
1/29/10,0.887550391,0.112449609
2/1/10,0.889768181,0.110231819
2/2/10,0.89082164,0.10917836
2/3/10,0.89079307,0.10920693
2/4/10,0.886913564,0.113086436
2/5/10,0.88680858,0.11319142
2/8/10,0.88611371,0.11388629
2/9/10,0.887949869,0.112050131
2/10/10,0.887994311,0.112005689
2/11/10,0.889125057,0.110874943
2/12/10,0.888858418,0.111141582
2/16/10,0.890178869,0.109821131
2/17/10,0.89113028,0.10886972
2/18/10,0.892084917,0.107915083
2/19/10,0.892229829,0.107770171
2/22/10,0.892313599,0.107686401
2/23/10,0.890357027,0.109642973
2/24/10,0.891191322,0.108808678
2/25/10,0.890758009,0.109241991
2/26/10,0.889037508,0.110962492
3/1/10,0.89022368,0.10977632
3/2/10,0.890421793,0.109578207
3/3/10,0.890665843,0.109334157
3/4/10,0.890761354,0.109238646
3/5/10,0.892603836,0.107396164
3/8/10,0.892892236,0.107107764
3/9/10,0.892756438,0.107243562
3/10/10,0.89333877,0.10666123
3/11/10,0.893851107,0.106148893
3/12/10,0.893695336,0.106304664
3/15/10,0.893752729,0.106247271
3/16/10,0.894151255,0.105848745
3/17/10,0.894568758,0.105431242
3/18/10,0.894778598,0.105221402
3/19/10,0.89441281,0.10558719
3/22/10,0.894607145,0.105392855
3/23/10,0.895481888,0.104518112
3/24/10,0.895957917,0.104042083
3/25/10,0.895738326,0.104261674
3/26/10,0.895558282,0.104441718
3/29/10,0.89621062,0.10378938
3/30/10,0.896164208,0.103835792
3/31/10,0.895267348,0.104732652
4/1/10,0.89641647,0.10358353
4/5/10,0.897986923,0.102013077
4/6/10,0.897894071,0.102105929
4/7/10,0.896836314,0.103163686
4/8/10,0.897219651,0.102780349
4/9/10,0.897716859,0.102283141
4/12/10,0.897645726,0.102354274
4/13/10,0.89755506,0.10244494
4/14/10,0.898791716,0.101208284
4/15/10,0.898736168,0.101263832
4/16/10,0.896746214,0.103253786
4/19/10,0.897280445,0.102719555
4/20/10,0.898068769,0.101931231
4/21/10,0.897606326,0.102393674
4/22/10,0.898055114,0.101944886
4/23/10,0.898886236,0.101113764
4/26/10,0.898511686,0.101488314
4/27/10,0.89546077,0.10453923
4/28/10,0.896630347,0.103369653
4/29/10,0.897602697,0.102397303
4/30/10,0.894174816,0.105825184
5/3/10,0.895894435,0.104105565
5/4/10,0.893044008,0.106955992
5/5/10,0.892079871,0.107920129
5/6/10,0.887577367,0.112422633
5/7/10,0.886300745,0.113699255
5/10/10,0.891432273,0.108567727
5/11/10,0.891023794,0.108976206
5/12/10,0.892595181,0.107404819
5/13/10,0.891177822,0.108822178
5/14/10,0.888772904,0.111227096
5/17/10,0.888996635,0.111003365
5/18/10,0.886967553,0.113032447
5/19/10,0.886290709,0.113709291
5/20/10,0.881368204,0.118631796
5/21/10,0.88271999,0.11728001
5/24/10,0.881447755,0.118552245
5/25/10,0.88117722,0.11882278
5/26/10,0.880708982,0.119291018
5/27/10,0.885158147,0.114841853
5/28/10,0.876026771,0.123973229
