,return forecast,in sample performance
2007-08,0.01927480112349271,-0.5484915660966382
2007-09,0.021874014467036206,-0.10455324453636951
2007-10,0.0190156758328017,-0.022974441616978494
2007-11,0.008544849222774821,-0.13935790317303123
2007-12,0.028622821300410446,-0.4277549412826152
2008-01,-0.00015776491946494737,-0.8185852512717744
2008-02,-0.009231843888197441,-0.6392482335315561
2008-03,-0.013927116163195174,-0.7810859173905956
2008-04,-0.000642591104305711,-0.22080347041427906
2008-05,0.0014881460375791972,-0.33240336944557025
2008-06,-0.011946662137799796,-0.4670213558971418
2008-07,-0.011155449512857761,-0.7547542893619121
2008-08,-0.005016410289215158,-0.24107211262852843
2008-09,-0.01634777604184528,-0.44731024122059676
2008-10,-0.04110760603966138,-0.28911012009939757
2008-11,-0.09515456887577545,-0.4448191408195476
2008-12,-0.043165781292596364,-0.36484070116307094
2009-01,-0.06208567689137715,-0.8798524204394895
2009-02,-0.08527733678535117,-0.2619584280323334
2009-03,-0.06345740725665157,-0.3598591552884921
2009-04,-0.017197348513718812,-0.2932223863334878
2009-05,0.013131008635514774,-0.472306267833001
2009-06,-0.004711653006311482,-0.3163032981950743
2009-07,0.03332826394242509,-1.0363029457664308
2009-08,0.026501676400883065,-2.333256010884168
2009-09,0.02452227706901549,-1.3769962543705505
2009-10,-0.007172972003250715,-0.5239376960201145
2009-11,0.010807488999358366,-0.5877668511455303
2009-12,0.004047348146768961,-0.5840392511647947
2010-01,0.00704192748164609,-0.797121926248517
2010-02,0.015295067729111371,-2.3293840249131885
2010-03,0.014291650063804104,-1.3147570027685291
2010-04,0.02589863914366002,-0.5044177098427625
2010-05,0.003049084029306934,-0.5943397355972151
2010-06,-0.0061564017830207105,-0.6006418107954495
2010-07,0.026085233917452946,-1.0894092177136385
2010-08,-0.005316871271130868,-2.403731821313289
2010-09,0.01519621630872944,-1.342995243719798
2010-10,0.013625215183224,-0.5273050134772519
2010-11,0.004403340207814116,-0.4486731972369197
2010-12,0.009032583523278384,-0.5048137081966981
2011-01,0.008971115405527245,-0.3820071812878066
2011-02,0.015888784835451718,-2.660343841353502
2011-03,0.01869594197310912,-1.590934894913311
2011-04,0.01537249257140524,-0.6433810337741613
2011-05,0.015730844556042,-0.6218064176742135
2011-06,0.023384619753570434,-0.598317491009043
2011-07,0.023908697720515987,-0.5023330270907352
2011-08,-0.006660373998357102,-3.010232601937273
2011-09,-0.0010443085169665322,-1.7409305701986455
2011-10,0.006516666875556569,-0.6978135831895608
2011-11,0.01142924133324003,-0.5345994729711288
2011-12,-0.0013207625529095136,-0.5752338053211562
2012-01,0.012215662737766309,-0.4200214403824901
2012-02,0.021495113275421415,-2.780188762981746
2012-03,0.0184953684891755,-1.7067970100300094
2012-04,-0.0019133260346060187,-0.7955313980384477
2012-05,0.015003444297814684,-0.5618978941858316
2012-06,0.017872868091179453,-0.5498028840120595
2012-07,0.005979215340432984,-0.4019475246194538
2012-08,0.020312813818281397,-2.707070509006579
2012-09,0.023608086457134844,-1.8440965216574121
2012-10,0.024188276240708042,-0.8491766854516665
2012-11,0.014105496316384565,-0.4809586595842454
2012-12,0.010655662991378823,-0.5809316233076296
2013-01,0.017073745557555878,-0.291214085974954
2013-02,0.01849555522890035,-1.9827718197697468
2013-03,0.009685151546449071,-1.8255450153780355
2013-04,-0.014225269106498104,-1.1446691109533007
2013-05,0.007208596800754699,-0.7902181955122299
2013-06,0.009880648589596287,-0.7454124364684767
2013-07,0.012759851378757202,-0.3222833394489903
2013-08,0.02175011899303972,-0.8965503799521454
2013-09,0.00922387511551579,-0.6268574953245303
2013-10,-0.0030155458778819404,-0.3751923213675833
2013-11,0.002447611174224176,-0.42295976950298964
2013-12,0.006099268260321251,-0.540409833177949
2014-01,-0.018105788134874925,-0.18791841988389318
2014-02,0.01366369411778025,-0.7555534328184799
2014-03,0.008137747878508872,-0.8362601142072102
2014-04,0.003867083461082194,-0.5141005130927288
2014-05,0.0027587138318257427,-0.5024339971121369
2014-06,0.009896284146344745,-0.5181981400236241
2014-07,0.010715217661240345,-0.37933686255272697
2014-08,0.0027445030920805473,-0.6107074455382852
2014-09,0.01228255019718604,-0.6498207131083404
2014-10,-0.0007199664471009003,-0.38507021184881374
2014-11,0.0013129801494276665,-0.42513225488005446
2014-12,0.01216014703975839,-0.43019543472862787
2015-01,0.0016446666651581897,-0.4149782734836571
2015-02,0.00048079711943000775,-0.4280000599436584
2015-03,0.01657771123840201,-0.5145546831096222
2015-04,0.008874852747330282,-0.31574580474634223
2015-05,0.011441509376350573,-0.39727301606209725
2015-06,0.007595531735429283,-0.48947418601488324
2015-07,0.003094128500787655,-0.3488016125230816
2015-08,0.024106969602602075,-0.3970151606643556
2015-09,0.013936721673277714,-0.5940983355044023
2015-10,0.007889698811468934,-0.336842013094705
2015-11,0.009609990894335566,-0.48758346765542643
2015-12,0.010172249153953705,-0.593271832049219
2016-01,0.021649287953183435,-0.4473318461923974
2016-02,0.011588156536330543,-0.46219153591031953
2016-03,-0.00016230043263348423,-0.4228921340283376
2016-04,-0.00455339598907834,-0.3396447820856394
2016-05,0.006275021754645548,-0.500234328300569
2016-06,0.003894120324846839,-0.46080792080222754
2016-07,0.00771373709490523,-0.793920759351443
2016-08,-0.0007113676433375307,-0.33149827151256495
2016-09,0.00106375201967737,-0.09137164674509317
2016-10,-0.0008757749194315213,-0.04819977410272047
2016-11,-0.0029480508963754034,-0.1393904735760147
2016-12,-0.005899701558878291,-0.09227335963466315
2017-01,0.004692843280001371,-0.2822603077083157
