date,IVV,IEF
2002-07-31,91.33000183105469,82.5199966430664
2002-08-01,88.5,82.86000061035156
2002-08-02,86.54000091552734,83.5
2002-08-05,83.72000122070312,83.91999816894531
2002-08-06,86.2300033569336,83.23999786376953
2002-08-07,87.93000030517578,83.5
2002-08-08,90.87000274658203,83.20999908447266
2002-08-09,91.25,83.83000183105469
2002-08-12,90.69999694824219,84.0
2002-08-13,88.76000213623047,84.66999816894531
2002-08-14,92.25,84.41999816894531
2002-08-15,93.56999969482422,83.93000030517578
2002-08-16,93.19000244140625,83.37999725341797
2002-08-19,95.41000366210938,83.45999908447266
2002-08-20,94.27999877929688,84.2300033569336
2002-08-21,95.69999694824219,84.0199966430664
2002-08-22,96.73999786376953,83.56999969482422
2002-08-23,94.51000213623047,83.94999694824219
2002-08-26,95.2699966430664,83.98999786376953
2002-08-27,93.91000366210938,83.73999786376953
2002-08-28,92.13999938964844,84.05000305175781
2002-08-29,92.12999725341797,84.44000244140625
2002-08-30,91.76000213623047,84.5999984741211
2002-09-03,88.16999816894531,85.2300033569336
2002-09-04,89.5199966430664,85.19999694824219
2002-09-05,88.37999725341797,85.54000091552734
2002-09-06,89.7300033569336,84.87999725341797
2002-09-09,90.86000061035156,84.76000213623047
2002-09-10,91.72000122070312,85.05999755859375
2002-09-11,91.22000122070312,84.75
2002-09-12,89.54000091552734,85.19000244140625
2002-09-13,89.48999786376953,85.58999633789062
2002-09-16,89.47000122070312,85.62000274658203
2002-09-17,87.37000274658203,85.9000015258789
2002-09-18,86.4000015258789,86.0
2002-09-19,84.47000122070312,86.43000030517578
2002-09-20,84.55000305175781,86.4000015258789
2002-09-23,83.58000183105469,86.88999938964844
2002-09-24,82.37999725341797,87.19999694824219
2002-09-25,84.30999755859375,86.54000091552734
2002-09-26,85.7300033569336,86.4800033569336
2002-09-27,82.93000030517578,87.05000305175781
2002-09-30,81.88999938964844,87.55999755859375
2002-10-01,85.75,86.54000091552734
2002-10-02,83.0999984741211,86.83000183105469
2002-10-03,82.19999694824219,86.77999877929688
2002-10-04,80.9000015258789,86.87000274658203
2002-10-07,78.76000213623047,87.20999908447266
2002-10-08,80.19999694824219,87.05000305175781
2002-10-09,78.13999938964844,87.48999786376953
2002-10-10,80.66999816894531,86.98999786376953
2002-10-11,83.95999908447266,86.37000274658203
2002-10-14,84.56999969482422,86.30000305175781
2002-10-15,88.81999969482422,84.8499984741211
2002-10-16,86.6500015258789,84.8499984741211
2002-10-17,88.26000213623047,84.4000015258789
2002-10-18,88.75,84.6500015258789
2002-10-21,90.19000244140625,84.0
2002-10-22,89.52999877929688,83.95999908447266
2002-10-23,90.23999786376953,84.13999938964844
2002-10-24,88.30999755859375,84.54000091552734
2002-10-25,90.0999984741211,84.91000366210938
2002-10-28,89.58999633789062,85.01000213623047
2002-10-29,88.51000213623047,85.77999877929688
2002-10-30,89.38999938964844,85.7699966430664
2002-10-31,88.69999694824219,86.20999908447266
2002-11-01,90.36000061035156,85.4000015258789
2002-11-04,91.13999938964844,85.12999725341797
2002-11-05,91.87999725341797,84.9000015258789
2002-11-06,92.83999633789062,85.18000030517578
2002-11-07,90.62999725341797,86.01000213623047
2002-11-08,89.63999938964844,86.22000122070312
2002-11-11,88.2699966430664,86.44000244140625
2002-11-12,88.81999969482422,86.16999816894531
2002-11-13,88.62999725341797,86.2699966430664
2002-11-14,90.79000091552734,85.19000244140625
2002-11-15,91.45999908447266,85.25
2002-11-18,90.55999755859375,85.33000183105469
2002-11-19,90.3499984741211,85.4000015258789
2002-11-20,91.45999908447266,84.93000030517578
2002-11-21,94.16000366210938,84.44000244140625
2002-11-22,93.58000183105469,84.33999633789062
2002-11-25,93.87999725341797,84.20999908447266
2002-11-26,91.77999877929688,84.97000122070312
2002-11-27,94.30000305175781,84.0
2002-11-29,93.77999877929688,84.12000274658203
2002-12-02,94.12999725341797,83.56999969482422
2002-12-03,92.9000015258789,83.55999755859375
2002-12-04,92.44999694824219,83.8499984741211
2002-12-05,91.27999877929688,84.08000183105469
2002-12-06,92.04000091552734,84.41999816894531
2002-12-09,89.44000244140625,84.73999786376953
2002-12-10,90.63999938964844,84.66999816894531
2002-12-11,90.95999908447266,84.94999694824219
2002-12-12,90.80000305175781,85.0199966430664
2002-12-13,89.33999633789062,84.70999908447266
2002-12-16,91.25,84.36000061035156
2002-12-17,90.5,84.55999755859375
2002-12-18,89.45999908447266,85.08000183105469
2002-12-19,88.7300033569336,85.5199966430664
2002-12-20,89.8499984741211,85.5199966430664
2002-12-23,90.11000061035156,85.47000122070312
2002-12-24,89.47000122070312,85.79000091552734
2002-12-26,89.37999725341797,85.91999816894531
2002-12-27,87.37999725341797,86.43000030517578
2002-12-30,88.12999725341797,86.58999633789062
2002-12-31,88.3499984741211,86.1500015258789
2003-01-02,91.16000366210938,84.79000091552734
2003-01-03,91.37000274658203,84.93000030517578
2003-01-06,93.06999969482422,84.72000122070312
2003-01-07,92.51000213623047,84.98999786376953
2003-01-08,91.43000030517578,85.19000244140625
2003-01-09,92.88999938964844,84.16000366210938
2003-01-10,93.0999984741211,84.25
2003-01-13,93.06999969482422,84.4000015258789
2003-01-14,93.12000274658203,84.5999984741211
2003-01-15,92.16999816894531,84.79000091552734
2003-01-16,91.63999938964844,84.76000213623047
2003-01-17,90.77999877929688,85.11000061035156
2003-01-21,89.08000183105469,85.4000015258789
2003-01-22,88.02999877929688,85.75
2003-01-23,88.7300033569336,85.56999969482422
2003-01-24,86.30000305175781,85.73999786376953
2003-01-27,85.02999877929688,85.4800033569336
