,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM
1993-02-01,-0.032994060097889105,0.004554843738206582,0.6800000000000006,3.27,186.5014,1210.0,-12.1,-0.5800000000000001,36962.0,247176.0,-0.20000000000000018,0.20562121742650064
1993-03-01,-0.23178551532031308,-0.0008448898729751519,0.5700000000000003,2.97,190.171,1083.0,-12.1,-0.5800000000000001,36895.0,245506.0,-0.09999999999999964,0.5300752434632336
1993-04-01,-0.03178696255187931,0.0029128076058348995,0.6800000000000006,3.04,187.6663,1258.0,-25.0,-0.28000000000000025,37729.0,244703.0,0.09999999999999964,-0.36988179777473107
1993-05-01,-0.03178696255187931,-0.003840839292245102,0.7800000000000011,3.01,181.2161,1260.0,-25.0,-0.28000000000000025,37869.0,245194.0,0.0,0.17839481717064132
1993-06-01,-1.0299,0.002204324777685729,0.7400000000000002,2.82,175.9696,1280.0,-25.0,-0.28000000000000025,38381.0,249521.0,-0.09999999999999964,0.2680280858820119
1993-07-01,-0.28217182320445267,0.0023910684397356885,0.7599999999999998,2.7,174.0556,1254.0,-20.0,-0.4500000000000002,38915.0,245765.0,-0.09999999999999964,-0.0018600818914755735
1993-08-01,-0.28217182320445267,-0.0011055248720159838,0.75,2.59,175.8414,1300.0,-20.0,-0.4500000000000002,39309.0,246562.0,-0.10000000000000053,0.45495265696471776
1993-09-01,0.9666649207443115,0.005046956441872696,0.6799999999999997,2.35,177.357,1343.0,-20.0,-0.4500000000000002,39307.0,245731.0,-0.09999999999999964,0.3631143487377102
1993-10-01,-0.8646196751314761,0.007722043005839563,0.6399999999999997,2.24,171.4164,1392.0,-18.6,-0.08999999999999986,40550.0,251656.0,0.09999999999999964,0.3240489959716797
1993-11-01,-1.0312,0.0048350140259236785,0.7300000000000004,2.54,165.0651,1376.0,-18.6,-0.08999999999999986,40301.0,247827.0,-0.20000000000000018,-0.029953184581938075
1993-12-01,0.2162800273598282,0.0053667774216306086,0.7600000000000007,2.64,163.5542,1533.0,-18.6,-0.08999999999999986,43296.0,250057.0,-0.09999999999999964,0.27213341023498927
1994-01-01,0.2162800273598282,0.003286958837460885,0.7300000000000004,2.71,177.3524,1272.0,-15.5,-0.4900000000000002,39801.0,257125.0,0.09999999999999964,0.4516668856401971
1994-02-01,-0.03840831629169836,0.0006919218128349502,0.6799999999999997,2.64,171.232,1337.0,-15.5,-0.4900000000000002,41736.0,256624.0,0.0,-0.0164329892113102
1994-03-01,3.954810169490735,0.01003188984591552,0.6500000000000004,2.89,170.3859,1564.0,-15.5,-0.4900000000000002,41245.0,257190.0,-0.09999999999999964,-0.4016951685366408
1994-04-01,3.954810169490735,0.006069708701194498,0.6399999999999997,3.19,174.5563,1465.0,-10.3,-0.16999999999999993,42992.0,260006.0,-0.09999999999999964,-0.953256288436787
1994-05-01,3.954810169490735,0.0047367232433794815,0.629999999999999,2.91,176.7601,1526.0,-10.3,-0.16999999999999993,42849.0,263419.0,-0.3000000000000007,0.2770265469276225
1994-06-01,-0.24470270270268266,0.0065271712477523725,0.6800000000000006,2.85,180.0834,1409.0,-10.3,-0.16999999999999993,44555.0,267027.0,0.0,0.32492491073938723
1994-07-01,0.45315687331536786,0.0013456920453358556,0.6900000000000013,2.84,182.5207,1439.0,-22.4,-0.1200000000000001,44016.0,267694.0,0.0,-0.17072245857932344
1994-08-01,-0.3815178970917241,0.006571706616309569,0.6699999999999999,2.63,170.2628,1450.0,-22.4,-0.1200000000000001,44406.0,269994.0,-0.09999999999999964,0.8444488193677806
1994-09-01,0.9478622073573355,0.003208291491265669,0.6400000000000006,2.71,171.4158,1474.0,-22.4,-0.1200000000000001,44507.0,270377.0,-0.09999999999999964,0.20799950783297305
1994-10-01,0.9478622073573355,0.007787134449250166,0.629999999999999,2.64,179.036,1450.0,-10.2,0.1200000000000001,45959.0,275087.0,-0.10000000000000053,-0.10535403660365716
1994-11-01,-1.0555,0.006740815159078872,0.6400000000000006,2.51,175.1664,1511.0,-10.2,0.1200000000000001,45942.0,276477.0,-0.20000000000000018,-0.0962233770461296
