,return forecast,in sample performance
2007-08-01,0.00016671452040079151,-0.08249535733232817
2007-09-01,0.000135972040201026,-0.09739641526523132
2007-10-01,0.00015268488862626802,-0.22599642532527942
2007-11-01,0.00020173155963179902,-0.5248398903938187
2007-12-01,0.00017467071071810625,-0.40792227484813603
2008-01-01,0.00020699917888161877,-0.1428625677855708
2008-02-01,0.0001983965677155617,-0.17500627481334896
2008-03-01,0.00021272396678534677,-0.23506245131885317
2008-04-01,0.00019318863321692107,-0.2932600139930962
2008-05-01,0.0001494737139702106,-0.6868504943049525
2008-06-01,0.00016402225551604327,-0.4206425938192708
2008-07-01,0.00021202524869074458,-0.15978627525153388
2008-08-01,0.0002227653236679605,-0.18006474195323663
2008-09-01,0.00018805632013643698,-0.2648252563179343
2008-10-01,0.00019648373479192336,-0.20600745332833584
2008-11-01,0.00039672028411325927,-0.6106439531729277
2008-12-01,0.0007636025700594642,-0.5146276515688777
2009-01-01,0.0002510596719454117,-0.17728855476548797
2009-02-01,0.0002651228981979815,-0.19040174576112165
2009-03-01,0.0002926001322001824,-0.31468972500734615
2009-04-01,0.00025986509079355336,-0.23055737673444726
2009-05-01,0.00014954053000129874,-0.6280669790469334
2009-06-01,0.00023786576332705196,-0.6839966103900788
2009-07-01,0.0002348031093034345,-0.20409007450561176
2009-08-01,0.000219839052991462,-0.19319692998573323
2009-09-01,0.0002261735194991425,-0.3559141903644114
2009-10-01,0.0001603203654020534,-0.23304847051545247
2009-11-01,0.0002347576908835087,-0.6697613308126161
2009-12-01,0.00020704139534614537,-0.5615913588253028
2010-01-01,0.00021302888788530066,-0.1985761762045611
2010-02-01,0.00042437870747001616,-0.10689766304820646
2010-03-01,6.026033167334986e-05,-0.2973957370457837
2010-04-01,0.00010945202265598311,-0.2833157770447575
2010-05-01,0.0006440482650049283,-1.0428096675314924
2010-06-01,0.0002531694480625604,-0.5386037656524953
2010-07-01,0.0003619262571185447,-0.21804713051718944
2010-08-01,0.00031053767186750493,-0.2404812429268453
2010-09-01,0.0002783027033150765,-0.4264199447785117
2010-10-01,0.00022880610175304467,-0.09861828042494228
2010-11-01,0.0002138089223818519,-0.1227292991600785
2010-12-01,0.0002649279857363858,-0.3680658643152006
2011-01-01,8.192433029571063e-05,-0.1883857003077563
2011-02-01,5.2763722159553236e-05,-0.3044728414629281
2011-03-01,0.0005233093884289815,-0.5242012165138079
2011-04-01,0.00014267853364052443,-0.08113654665226396
2011-05-01,0.0003336247619024293,-0.04520651282010717
2011-06-01,0.00031461070224052533,-0.3295938384411858
2011-07-01,0.00032693116912581023,-0.24470207209424719
2011-08-01,0.0010492085556533933,-0.36739977912003086
2011-09-01,0.0003765983409738272,-0.705503621063831
2011-10-01,0.0003345760611195892,-0.1445620653991403
2011-11-01,0.00029497594588961506,-0.01832768734290445
2011-12-01,0.00036223990065271196,-0.31439111434468814
2012-01-01,0.000324814190133483,-0.11853123907765538
2012-02-01,0.00025520206457097313,-0.29884223373903407
2012-03-01,0.00018205011830158067,-0.6228045679744421
2012-04-01,0.00037750069046190197,-0.20300154370116025
2012-05-01,0.00041228547530613123,-0.006579806601514748
2012-06-01,0.0003830373783597421,-0.3414354571840389
2012-07-01,0.00028990856433980483,-0.05693738806861519
2012-08-01,0.00010646527329769901,-0.25287611262392606
2012-09-01,0.00026146074609860134,-0.5444469113266286
2012-10-01,0.000410025625215231,-0.11820827506064897
2012-11-01,0.0003973623255237869,-0.025970836640616723
2012-12-01,0.0003119513897439589,-0.3693331722529738
2013-01-01,0.00020509122639279185,-0.2863990271073587
2013-02-01,0.00027735170694517466,-0.33498779637011566
2013-03-01,0.00025962339817979806,-0.6166710216225024
2013-04-01,0.00027624786732044374,-0.0749416957219835
2013-05-01,0.00022567350907053306,-0.10073093447622589
2013-06-01,0.00030096067931226753,-0.2838417126772389
2013-07-01,0.00016253827659362666,-0.41759425799313143
2013-08-01,0.0002621257770636796,-0.5112411133202297
2013-09-01,0.0002503475759640608,-0.6743086667884326
2013-10-01,0.00020546550542745312,-0.21973320094365162
2013-11-01,7.227546184039924e-05,-0.11566136438920087
2013-12-01,0.00012343910688063418,-0.4091724312680287
2014-01-01,0.00018021185574468003,-0.4478742251093538
2014-02-01,0.00018945470191872316,-0.6379503222721454
2014-03-01,0.00021754698876092052,-0.9573263200854182
2014-04-01,0.0003137323798993185,-0.3440960562001474
2014-05-01,0.00018527758686804295,-0.2126020132613083
2014-06-01,0.0002214172846770005,-0.31101703357809984
2014-07-01,2.710079749468451e-05,-0.4335016901526685
2014-08-01,0.00022170736639735107,-0.6053591655857512
2014-09-01,0.00017115931679578052,-0.657603252016528
2014-10-01,0.0002714549633515838,-0.24420128115065726
2014-11-01,-0.00019142748922361142,-0.16008362653188551
2014-12-01,0.00024602991131772954,-0.3406167742119604
2015-01-01,0.0001725439542306197,-0.4565771790665772
2015-02-01,0.00023596226571337534,-0.35990336648513965
2015-03-01,0.00025019828463858,-0.47643070167618773
2015-04-01,3.5315267197635284e-05,-0.14823724870773286
2015-05-01,-7.745277178182599e-05,-0.15173157300235698
2015-06-01,0.0002327995137534972,-0.2663712271616742
2015-07-01,0.00025606480778500384,-0.3906823967986486
2015-08-01,0.00016002244195432517,-0.11555161752425228
2015-09-01,0.0002682491862092054,-0.15698309055154025
2015-10-01,-0.00021405385032676675,-0.03127555558794118
2015-11-01,-0.0003075729489580522,-0.10223034247256223
2015-12-01,4.4877949568142674e-05,-0.21440276050000534
2016-01-01,0.0008037561276623125,-0.5135872980853079
2016-02-01,3.7571863492449984e-05,-0.2535453686973611
2016-03-01,-0.00020196361376548217,-0.17874164988663432
2016-04-01,2.738388636861706e-05,-0.12493744661467075
2016-05-01,0.0004307343927626145,-0.14654001198626834
2016-06-01,0.0001362190014579473,-0.3056667726332021
2016-07-01,0.00017607141780775037,-0.3540149540306912
2016-08-01,-2.186694949456782e-05,-0.12315751949869999
2016-09-01,5.627479611636582e-05,-0.015572985443423379
2016-10-01,0.00020087193430081435,-0.03249975147502171
2016-11-01,0.00010310608848236423,-0.08021252000184571
2016-12-01,7.773482112738116e-05,-0.3142319585975235
2017-01-01,2.1266930618190398e-05,-0.2298146402328704
