,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM,BDC,EVUSD
1993-07-01,-0.2821718241268646,0.0024117336217173158,0.7599999999999998,2.7,174.0556,1254.0,-20.0,-0.4500000000000002,38915.0,245765.0,-0.09999999999999964,-0.00184904651724338,-0.09097080787508482,0.018801410105758087
1993-08-01,-0.2821718241268646,-0.0009317236581186661,0.75,2.59,175.8414,1300.0,-20.0,-0.4500000000000002,39309.0,246562.0,-0.10000000000000053,0.45300002737995015,0.07094846900672147,-0.014889378211177529
1993-09-01,0.9666649270845119,0.00511698821681561,0.6799999999999997,2.35,177.357,1343.0,-20.0,-0.4500000000000002,39307.0,245731.0,-0.09999999999999964,0.36155000909582213,-0.01324965132496514,-0.012027674294837754
1993-10-01,-0.8646196748731727,0.0074319148091965825,0.6399999999999997,2.24,171.4164,1392.0,-18.6,-0.08999999999999986,40550.0,251656.0,0.09999999999999964,0.3226542699904691,-0.06925795053003536,0.02434820081878919
1993-11-01,-1.0312,0.004756480325743162,0.7300000000000004,2.54,165.0651,1376.0,-18.6,-0.08999999999999986,40301.0,247827.0,-0.20000000000000018,-0.02982393900553504,-0.04859529233105542,0.011884728649558252
1993-12-01,0.2162800295363101,0.005647588090916145,0.7600000000000007,2.64,163.5542,1533.0,-18.6,-0.08999999999999986,43296.0,250057.0,-0.09999999999999964,0.2709606591757243,-0.03032721468475663,0.00654817586529477
1994-01-01,0.2162800295363101,0.0031872247158331035,0.7300000000000004,2.71,177.3524,1272.0,-15.5,-0.4900000000000002,39801.0,257125.0,0.09999999999999964,0.4497296593405977,-0.012345679012345734,-0.012907889301941311
1994-02-01,-0.038408316740218135,0.0007143241417650881,0.6799999999999997,2.64,171.232,1337.0,-15.5,-0.4900000000000002,41736.0,256624.0,0.0,-0.016367962485865917,-0.06916666666666671,-0.010879799142169744
1994-03-01,3.9548101832322033,0.009994892793462773,0.6500000000000004,2.89,170.3859,1564.0,-15.5,-0.4900000000000002,41245.0,257190.0,-0.09999999999999964,-0.3999672678024311,0.07967770814682185,-0.01575885774722363
1994-04-01,3.9548101832322033,0.005912750338219919,0.6399999999999997,3.19,174.5563,1465.0,-10.3,-0.16999999999999993,42992.0,260006.0,-0.09999999999999964,-0.9491573394845254,0.1724709784411278,-0.010101010101010055
1994-05-01,3.9548101832322033,0.004699162470198415,0.629999999999999,2.91,176.7601,1526.0,-10.3,-0.16999999999999993,42849.0,263419.0,-0.3000000000000007,0.27583692067846854,0.03111739745403108,0.004342162396873572
1994-06-01,-0.24470270385878376,0.006541034715323857,0.6800000000000006,2.85,180.0834,1409.0,-10.3,-0.16999999999999993,44555.0,267027.0,0.0,0.32352910310158833,-0.08504801097393688,-0.031344574146130455
1994-07-01,0.4531568730959569,0.00125144985043657,0.6900000000000013,2.84,182.5207,1439.0,-22.4,-0.1200000000000001,44016.0,267694.0,0.0,-0.16998890963467517,0.07946026986506749,0.002789555902700247
1994-08-01,-0.38151789593196717,0.006603635265647778,0.6699999999999999,2.63,170.2628,1450.0,-22.4,-0.1200000000000001,44406.0,269994.0,-0.09999999999999964,0.8408147811889641,-0.002777777777777768,-0.002225436741960629
1994-09-01,0.9478622126343279,0.003117915467283572,0.6400000000000006,2.71,171.4158,1474.0,-22.4,-0.1200000000000001,44507.0,270377.0,-0.09999999999999964,0.20710790724981365,0.1532033426183843,-0.019962083193933333
1994-10-01,0.9478622126343279,0.008073907305333305,0.629999999999999,2.64,179.036,1450.0,-10.2,0.1200000000000001,45959.0,275087.0,-0.10000000000000053,-0.10490335736955814,0.12922705314009653,-0.02492034592626302
1994-11-01,-1.0555,0.006777050442818622,0.6400000000000006,2.51,175.1664,1511.0,-10.2,0.1200000000000001,45942.0,276477.0,-0.20000000000000018,-0.09580884660993405,0.03315508021390379,0.040144707667172375
1994-12-01,-0.06299201497205581,0.009734510767173576,0.6399999999999988,2.05,180.7578,1455.0,-10.2,0.1200000000000001,46186.0,282738.0,-0.09999999999999964,-0.26560683477492475,0.017080745341614856,-0.004600022439133822
1995-01-01,-0.06299201497205581,0.0020889039777556295,0.6199999999999992,1.88,176.0039,1407.0,-6.8,-0.18999999999999995,47317.0,279692.0,0.09999999999999964,0.6537624540783114,0.004071246819338459,-0.00822813345356177
1995-02-01,-0.2275801190925597,-0.0013439674759870845,0.5899999999999999,1.53,177.1083,1316.0,-6.8,-0.18999999999999995,46200.0,284915.0,-0.1999999999999993,1.1104090888996154,0.0329447541814496,-0.023411751335378872
1995-03-01,-0.45907498453532275,0.0015532499793227128,0.5800000000000001,1.29,179.0597,1249.0,-6.8,-0.18999999999999995,46095.0,282195.0,0.0,0.7294040566450946,0.0839057899901865,-0.04689863842662634
1995-04-01,-0.45907498453532275,-0.001626423645568309,0.5700000000000003,1.22,183.6347,1267.0,-8.6,0.03000000000000025,46776.0,283370.0,0.39999999999999947,0.9658178944882323,0.06247170665459478,-0.0012210012210013277
1995-05-01,-0.0569710898451335,0.004641877275550099,0.5499999999999989,0.78,180.8068,1314.0,-8.6,0.03000000000000025,48401.0,282955.0,-0.20000000000000018,1.0347129967794437,-0.10694503621644658,0.009413202933985287
1995-06-01,0.0,0.003303097962601198,0.6000000000000005,0.53,174.4889,1281.0,-8.6,0.03000000000000025,47970.0,281900.0,0.0,1.0091831900856718,-0.05582061068702293,-0.011989826813612603
1995-07-01,0.0,-0.0042324612951637475,0.629999999999999,0.69,177.3371,1461.0,-5.2,0.009999999999999787,45962.0,281269.0,0.10000000000000053,1.1679495724764735,0.023244062657908016,-0.0001225790634959978
