yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19013,8.00,0.315,0.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007641,NaN,NaN,NaN,0.0122704030,NaN,NaN,NaN,NaN,NaN,NaN
19014,7.95,0.320,0.500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009855,NaN,NaN,NaN,0.0030520584,NaN,NaN,NaN,NaN,NaN,NaN
19021,8.20,0.323,0.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009855,NaN,NaN,NaN,0.0017024393,NaN,NaN,NaN,NaN,NaN,NaN
19022,8.41,0.325,0.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008527,NaN,NaN,NaN,0.0021190744,NaN,NaN,NaN,NaN,NaN,NaN
19023,8.85,0.328,0.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008748,NaN,NaN,NaN,0.0040845748,NaN,NaN,NaN,NaN,NaN,NaN
19024,8.05,0.330,0.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011338,NaN,NaN,NaN,0.0054869392,NaN,NaN,NaN,NaN,NaN,NaN
19031,8.08,0.335,0.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012201,NaN,NaN,NaN,0.0028561094,NaN,NaN,NaN,NaN,NaN,NaN
19032,7.18,0.340,0.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011338,NaN,NaN,NaN,0.0055744982,NaN,NaN,NaN,NaN,NaN,NaN
19033,6.47,0.345,0.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010165,NaN,NaN,NaN,0.0101527129,NaN,NaN,NaN,NaN,NaN,NaN
19034,6.57,0.350,0.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012201,NaN,NaN,NaN,0.0061622614,NaN,NaN,NaN,NaN,NaN,NaN
19041,6.48,0.340,0.520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011869,NaN,NaN,NaN,0.0039518319,NaN,NaN,NaN,NaN,NaN,NaN
19042,6.51,0.330,0.510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009279,NaN,NaN,NaN,0.0010182389,NaN,NaN,NaN,NaN,NaN,NaN
19043,7.32,0.320,0.500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006910,NaN,NaN,NaN,0.0022750306,NaN,NaN,NaN,NaN,NaN,NaN
