,0
1952-03,0.0015825006641197897
1952-04,0.0016144706954170245
1952-05,0.0016326905523724523
1952-06,0.0016413417865505109
1952-07,0.0016375722439969523
1952-08,0.0016267711088284653
1952-09,0.001612632257182367
1952-10,0.0015945598841340125
1952-11,0.0016014212886305541
1952-12,0.0016007706528657576
1953-01,0.0015973229388768532
1953-02,0.0016087076469660294
1953-03,0.0015597763365760883
1953-04,0.0015063800800693158
1953-05,0.001443755458804683
1953-06,0.001466861429257678
1953-07,0.0013724839686668614
1953-08,0.0013851623181873323
1953-09,0.0013119966043700574
1953-10,0.0014030269882650147
1953-11,0.0013715294709435355
1953-12,0.00133748968224965
1954-01,0.0011382807403120365
1954-02,0.0011294755523943007
1954-03,0.0011647254850504685
1954-04,0.0011155245727144801
1954-05,0.001115619366822712
1954-06,0.001123376727503061
1954-07,0.0010816988135814783
1954-08,0.0010799924535977556
1954-09,0.0010711519919941567
1954-10,0.001116278124665505
1954-11,0.0012073106696317228
1954-12,0.0012231298769766414
1955-01,0.0013099453410248974
1955-02,0.0013201149859157248
1955-03,0.0013202555301301592
1955-04,0.0013221487484346797
1955-05,0.0013275297718951472
1955-06,0.0013186654898048552
1955-07,0.0013075669736993434
1955-08,0.0013021518116241976
1955-09,0.0013451025345514922
1955-10,0.0013497043321514621
1955-11,0.0013130664675329224
1955-12,0.0013516321264723749
1956-01,0.0014214975538481922
1956-02,0.0014040841488724269
1956-03,0.0014052429668508846
1956-04,0.0014156161995696028
1956-05,0.0014583855526973401
1956-06,0.001437983789784071
1956-07,0.0014955961888504718
1956-08,0.0014767591017678292
1956-09,0.0014451343561411557
1956-10,0.0014846458374690216
1956-11,0.0015486662631434308
1956-12,0.0015353471483068024
1957-01,0.001542162581485853
1957-02,0.0015381953052536323
1957-03,0.001596187078722428
1957-04,0.001589227400722632
1957-05,0.0015614104569826445
1957-06,0.0015154312768888754
1957-07,0.0015263200651147182
1957-08,0.001504212181068719
1957-09,0.0015032133932066914
1957-10,0.0015783531241473558
1957-11,0.0016614361788234709
1957-12,0.0016960094577842073
1958-01,0.0016668170807137392
1958-02,0.001701789495748702
1958-03,0.0017233093039614787
1958-04,0.0017261810276943958
1958-05,0.0017143498430477254
1958-06,0.0016966019475375383
1958-07,0.0016928432945355664
1958-08,0.001681339685268771
1958-09,0.0016986732113382056
1958-10,0.0016003882957102316
1958-11,0.0016234674181824533
1958-12,0.001596559095590333
1959-01,0.001597832578364706
1959-02,0.0016253693638646973
1959-03,0.0015982802311721315
1959-04,0.0015998735594457796
1959-05,0.0015973007292603564
1959-06,0.0015838996769984275
1959-07,0.0015758448168084298
1959-08,0.0015785048265064081
1959-09,0.0015470383525086017
1959-10,0.0015178761918673324
1959-11,0.001484388238386303
1959-12,0.0014644728166748541
1960-01,0.001367838351032488
1960-02,0.0013389310270851798
1960-03,0.001459352049778555
1960-04,0.001458882217045015
1960-05,0.0014658514041822623
1960-06,0.001460026699188112
1960-07,0.0014667354300087494
1960-08,0.001362040171174662
1960-09,0.0013215475294238816
1960-10,0.001326770077380828
1960-11,0.0014122230786204858
1960-12,0.0013862747427180017
1961-01,0.0013185766794722997
1961-02,0.0013532767971635206
1961-03,0.0013787255544128187
1961-04,0.0013708280711686813
1961-05,0.0013013014002984814
1961-06,0.001299751673990484
1961-07,0.0011992469473237942
1961-08,0.0012064781383764349
1961-09,0.0011794441066588879
1961-10,0.001139358891951443
1961-11,0.0010970438279583289
1961-12,0.0011055519779521654
1962-01,0.0011164321895051697
1962-02,0.0011024449727681717
1962-03,0.0010950002622414135
1962-04,0.0010577913926828027
1962-05,0.0010610477772479707
1962-06,0.001140390871355711
1962-07,0.0012719787300843506
1962-08,0.001412820027336051
1962-09,0.0014821886496515693
1962-10,0.0014033187662023075
1962-11,0.001371296280570884
1962-12,0.001337271415747355
1963-01,0.001493283820690737
1963-02,0.001438016379818156
1963-03,0.0014480041645346664
1963-04,0.0014604198383869013
1963-05,0.001465312018616456
1963-06,0.0014875773668440381
1963-07,0.0014874550962015835
1963-08,0.0015009851096777016
1963-09,0.0014777037945019698
1963-10,0.0015133139876871648
1963-11,0.001486190222479682
1963-12,0.0014926449433539557
1964-01,0.0014949654981065092
1964-02,0.0014575595077656058
1964-03,0.0014664198099431126
1964-04,0.0014653218352371246
1964-05,0.0014655637836968809
1964-06,0.0014434107841706737
1964-07,0.0014405872025403327
1964-08,0.0014399908555369077
1964-09,0.0014254103885083507
1964-10,0.0014266227900576627
1964-11,0.0013752065227800722
1964-12,0.0013750030956665256
1965-01,0.0013784248181640804
1965-02,0.0013696260005212407
1965-03,0.0012572969252101053
1965-04,0.0012598640924793656
1965-05,0.0012605186638588446
1965-06,0.0012579886169888652
1965-07,0.001258009491588706
1965-08,0.0013256942242019939
1965-09,0.0013014354022443581
1965-10,0.0012988539986026788
1965-11,0.0012096728194387653
1965-12,0.001212302402906071
1966-01,0.0012003950291978203
1966-02,0.0011699879405058793
1966-03,0.0011063635655443275
1966-04,0.0011133450121444707
1966-05,0.0011244640682871536
1966-06,0.0011287434855360972
1966-07,0.001202454577506058
1966-08,0.001186368543773967
1966-09,0.0011773822932319052
1966-10,0.0013030764856898427
1966-11,0.001293249680199067
1966-12,0.0013217337681654942
1967-01,0.0012931048961369847
1967-02,0.0012936301814257247
1967-03,0.0013646809690122026
1967-04,0.0013619251518132798
1967-05,0.0013854671233025644
1967-06,0.001316279303092424
1967-07,0.0012315933374505588
1967-08,0.001085486836522318
1967-09,0.0010516483072024701
1967-10,0.0010599485505774229
1967-11,0.001004332225546383
