,IVV,IEF
2003-09-30,0.0007855455154059598,0.000755988610018739
2003-10-31,0.0008650636998343321,0.0008027110155589833
2003-11-30,0.0007467396370616586,0.0007158017976497473
2003-12-31,0.0007368603999352072,0.0007054025542932799
2004-01-31,0.0008332865756913401,0.0008184639631579807
2004-02-29,0.0007482225981998218,0.0007253186278253021
2004-03-31,0.0006439787682923517,0.0006173145491770802
2004-04-30,0.0010009700002060196,0.0009135347729586376
2004-05-31,0.0008823321510374929,0.0008429615923306964
2004-06-30,0.0006804528418787272,0.0006386992996261607
2004-07-31,0.0008617228465667963,0.000836746147720076
2004-08-31,0.0010624960415307463,0.0010170014884176987
2004-09-30,0.0011478589596332464,0.0010988591928299733
2004-10-31,0.001132214095468757,0.0011063394017946098
2004-11-30,0.0011558210540270613,0.0010919395861414907
2004-12-31,0.0015495193968611451,0.00152015904832605
2005-01-31,0.0016331499567112614,0.001618861601166963
2005-02-28,0.0016491474213589975,0.0016055695063497738
2005-03-31,0.0016572152512428521,0.001615584403503213
2005-04-30,0.0021670679047608448,0.0021319743963823835
2005-05-31,0.002196269045836317,0.002095491323635782
2005-06-30,0.0024415420676113945,0.002408104454195963
2005-07-31,0.0023355565676140204,0.0023170489812207352
2005-08-31,0.002436251072179996,0.0024200386860040736
2005-09-30,0.0030484510764505523,0.003014161236956266
2005-10-31,0.002929760162365438,0.0029007728529453105
2005-11-30,0.002808313669717466,0.0027028730717567747
2005-12-31,0.003126517009259718,0.003115300020342327
2006-01-31,0.0032267693324664996,0.0032088815859408594
2006-02-28,0.003554326420760654,0.0035017658041241084
2006-03-31,0.003447431628523913,0.003400865223768557
2006-04-30,0.003734459782119566,0.0037174889501804583
2006-05-31,0.003644701037172508,0.0036194979679736454
2006-06-30,0.004403969639182857,0.0043155371244717
2006-07-31,0.0041090525449609455,0.004011816709852928
2006-08-31,0.004080640199543277,0.004009698249115168
2006-09-30,0.004225473195886586,0.004209497948387684
2006-10-31,0.004123295617698814,0.004106617211594363
2006-11-30,0.004120333576835545,0.004113580505968447
2006-12-31,0.004237348359494407,0.0042091943668171455
2007-01-31,0.004019926937469443,0.004006887587866259
2007-02-28,0.004431358539318896,0.00440854666059245
2007-03-31,0.003900578175100922,0.0037911511958338895
2007-04-30,0.004383784736689705,0.004296985096247509
2007-05-31,0.004426369103336498,0.004402225022025171
2007-06-30,0.004128115013865407,0.0040995516664045165
2007-07-31,0.004125309363795229,0.004038844865392451
2007-08-31,0.004112040732519199,0.003983091272196716
2007-09-30,0.004400356416022691,0.004170147861570907
2007-10-31,0.00328356322119383,0.0032063401016836587
2007-11-30,0.003258972682475183,0.003188290263755151
2007-12-31,0.0036467639426276317,0.0033462486330540758
2008-01-31,0.002789745496726426,0.002688939141451229
2008-02-29,0.0022991459066253107,0.0020715228352517915
2008-03-31,0.001439123572700877,0.0013026136947050407
2008-04-30,0.0019693316550786436,0.001648803896577976
2008-05-31,0.0019177199965470211,0.0017846502888947732
2008-06-30,0.0018895031309506055,0.0018141682034432797
2008-07-31,0.0018267235250889909,0.001680740160627919
2008-08-31,0.0016888765341276893,0.0014803319821974918
2008-09-30,0.0014541375426993276,0.001284304904045363
2008-10-31,0.0023633978355958184,0.0013202406243993405
2008-11-30,0.0035956280957501027,0.0007043080331371867
2008-12-31,0.0022575559624135556,0.00015726062362762886
2009-01-31,0.0009739155094382314,-3.2097095760767576e-05
2009-02-28,0.0006523763731280518,-2.1493392552056086e-05
2009-03-31,0.0005696594455577348,6.405043790567981e-05
2009-04-30,0.0012481557455386416,0.00022869044483923585
2009-05-31,0.0004475332743676193,6.717674621446723e-05
2009-06-30,0.0003862414593355801,6.154929545699873e-05
2009-07-31,0.00025461994579136226,0.00013280652868295068
2009-08-31,0.00024155412983280206,0.00011033493144206165
2009-09-30,0.00018353886882071168,9.339258859094484e-05
2009-10-31,0.00019356602175971097,0.00010295728681545838
2009-11-30,0.00016805111940910663,-1.1245930807412333e-05
2009-12-31,0.00010576700279466177,4.303203328105527e-06
2010-01-31,0.00013204688795103185,0.00010180906489047124
2010-02-28,0.00011402751538808529,-4.533351004769565e-06
2010-03-31,0.00011860784937291714,-1.0262804726162681e-05
2010-04-30,0.00013032234173024788,0.00011449050430312175
2010-05-31,0.00016740510056275883,8.509053658071346e-05
2010-06-30,0.0004841163101550961,2.158314410236017e-05
2010-07-31,0.0003375288524268163,5.765538020966238e-05
2010-08-31,0.0002433426674740166,7.894016766372722e-05
2010-09-30,0.00019593064065387292,8.478191132812283e-05
2010-10-31,0.00018013284047149652,9.898039262993107e-05
2010-11-30,0.00014570737242585076,0.0001164239551615579
2010-12-31,0.00020367804686080468,0.00013866647716953855
2011-01-31,0.00012216694000160484,0.00015160514589046155
2011-02-28,0.00013079306718767906,0.00011000582872566467
2011-03-31,0.0001463338448021306,0.00010494922029987464
2011-04-30,0.00018270940063877078,8.197493985556696e-05
2011-05-31,3.473584186147188e-05,1.054832000783823e-05
2011-06-30,3.9920782419068314e-05,-3.976798858054269e-06
2011-07-31,7.470161450262626e-05,-2.0876150476097655e-05
2011-08-31,0.00010055350031916411,1.557482434192821e-05
2011-09-30,0.0009644274383630892,-1.992512691163685e-05
2011-10-31,0.00030609552429217124,-5.9744728010892546e-05
2011-11-30,0.0002797198781701637,-7.573543461904646e-05
2011-12-31,0.00035335167212863407,-5.950807756696044e-05
2012-01-31,0.0001151295532759428,-2.5181046482167086e-05
2012-02-29,1.9878858820576038e-05,2.1789079213302537e-06
2012-03-31,1.9330054315126357e-05,1.6881792533527954e-06
