,IVV,IEF
2003-09-30,0.0007764024951564065,0.000714971972308604
2003-10-31,0.0008983421279669611,0.0008067350879790582
2003-11-30,0.0007751616010384665,0.0007192842451551749
2003-12-31,0.0007759397119391633,0.0007179408316909298
2004-01-31,0.0008792949369881098,0.000814080115734989
2004-02-29,0.0007962259655381659,0.0007045414479582671
2004-03-31,0.0007066394562559013,0.0005983749364528721
2004-04-30,0.00100172931062982,0.0009002264399386876
2004-05-31,0.000888267427117169,0.0008057734405818213
2004-06-30,0.0007036113960076088,0.0005986940435433597
2004-07-31,0.0009077116549191501,0.000795742137959642
2004-08-31,0.001079572021449663,0.001009214728820864
2004-09-30,0.0011734626117885978,0.001111923959448459
2004-10-31,0.0011747589546363137,0.0011110431875837336
2004-11-30,0.0011855067929441357,0.00110649806397669
2004-12-31,0.0015762695452601761,0.0015091020917907543
2005-01-31,0.0016776422903712243,0.0016088229685609775
2005-02-28,0.001669863817373123,0.0016113406615554063
2005-03-31,0.0016693262519091908,0.0016109014700839204
2005-04-30,0.002166941821166892,0.002112047060813396
2005-05-31,0.002175987674391405,0.002108475740084807
2005-06-30,0.002472519269140383,0.0024093428743221417
2005-07-31,0.002354297040644412,0.0023153339133069628
2005-08-31,0.002475936849750716,0.002407078450243242
2005-09-30,0.003073206113839981,0.003007946190195874
2005-10-31,0.0029513975796456008,0.0029157921933139668
2005-11-30,0.002733238880476104,0.0027222729460512824
2005-12-31,0.0031375723695176217,0.00312072977713264
2006-01-31,0.0032559889994052296,0.0032150561716753293
2006-02-28,0.0035381459868652956,0.0035203761241717536
2006-03-31,0.0034380073710448197,0.0034199026183911563
2006-04-30,0.00374124674869968,0.003718644814313311
2006-05-31,0.0036645513497921786,0.0036110149645478206
2006-06-30,0.004355470630587484,0.0043134412980295935
2006-07-31,0.004060293255591526,0.004011520088580696
2006-08-31,0.0040717164493078,0.0040078360365061625
2006-09-30,0.00428289848029864,0.0042044024856780675
2006-10-31,0.004182393872087302,0.0041044253761282476
2006-11-30,0.004180904233296263,0.00410441027703316
2006-12-31,0.004283097281028396,0.0042044392256404646
2007-01-31,0.004094712594668502,0.00400119899742409
2007-02-28,0.004496140704928703,0.004400654377475629
2007-03-31,0.003902053804058709,0.0037992685270840766
2007-04-30,0.004390472539214882,0.004302546354874119
2007-05-31,0.004497066153379775,0.004399987164830036
2007-06-30,0.0042156010106512215,0.0040943783237901285
2007-07-31,0.004123501626502122,0.003991219476012895
2007-08-31,0.0040722876087078445,0.004006553317420571
2007-09-30,0.004302205441113996,0.004197837319579586
2007-10-31,0.003309764166369062,0.00319527126339719
2007-11-30,0.0033027825812934116,0.0031973626152579844
2007-12-31,0.0034768073491097586,0.0034057144032860584
2008-01-31,0.0027974578645409386,0.0026990174810762936
2008-02-29,0.0022154167831690604,0.002093589586159873
2008-03-31,0.0014115696795687048,0.0012941686864144043
2008-04-30,0.001805330523508545,0.0016967089215170624
2008-05-31,0.0019346579081029188,0.0017993400427162196
2008-06-30,0.0018828093907587316,0.0018177668841224243
2008-07-31,0.0019101022190477893,0.0016929483236129339
2008-08-31,0.0016474487683889427,0.0015074256868464041
2008-09-30,0.001365202614577487,0.0013253194066491954
2008-10-31,0.0016158152342866338,0.0015156912945415092
2008-11-30,0.0008324896012795695,0.0008350574924062068
2008-12-31,0.0003660938876889017,0.0003282587938912931
2009-01-31,-5.233281070072187e-06,4.3233785196839085e-05
2009-02-28,0.0002466027694814667,-6.005050196425932e-06
2009-03-31,0.0002672907493127152,0.00010996007984876288
2009-04-30,0.0004505465678370012,0.0001934122609409702
2009-05-31,0.0002852215577636576,0.0001066010287124776
2009-06-30,0.00010580678351963647,2.2844269004904262e-05
2009-07-31,0.0002917148903623947,0.00010565263285433676
2009-08-31,0.00018927735118231463,0.00012591077508422282
2009-09-30,0.0002645938151947412,0.00011087445635008955
2009-10-31,0.000333973684412072,9.687023574551224e-05
2009-11-30,0.0002179977592434319,-4.245272595584537e-07
2009-12-31,0.00028478657088882567,-1.417317489859593e-05
2010-01-31,0.00040027723884868984,8.232956421451364e-05
2010-02-28,0.0003113967447454518,-2.0585940070865265e-05
2010-03-31,0.00041797452058134045,-4.219616180343127e-05
2010-04-30,0.0004479156986930829,7.154346315882632e-05
2010-05-31,0.00044689768286920544,7.122448285337154e-05
2010-06-30,0.00038713740050583815,8.383474634831713e-05
2010-07-31,0.000579127778155354,4.395338376660177e-05
2010-08-31,0.00026514874423119,0.00011031106868761896
2010-09-30,0.00030997956719556975,0.00010136209002086066
2010-10-31,0.0002890424446229342,0.00010598575003908491
2010-11-30,0.0003566310844446476,9.14135066781851e-05
2010-12-31,0.0002716274335869702,0.00010953367311857785
2011-01-31,0.00037767285773117,8.614464333675562e-05
2011-02-28,0.00041418038967571286,7.755113514527024e-05
2011-03-31,0.0003804720387767782,8.44473249956758e-05
2011-04-30,0.00026931969983122136,0.00010927182268302937
2011-05-31,0.00029182949373682206,-1.7359722067446692e-05
2011-06-30,0.00030774746623216684,-2.1024780772583177e-05
2011-07-31,0.00032616500748880635,-2.5472240473196954e-05
2011-08-31,0.0002410355601908288,-6.690952101769792e-06
2011-09-30,0.0003623004236543651,8.872067311093551e-05
2011-10-31,0.00030429622384455326,-2.1064904948799206e-05
2011-11-30,6.4268577194603e-05,3.384407523289725e-05
2011-12-31,0.00027499981393225634,-1.453447702884948e-05
2012-01-31,0.00017840752379453729,7.868394362947158e-06
2012-02-29,0.00012206543841192455,2.0934303188739536e-05
2012-03-31,0.0001504961839060555,1.3747861099535496e-05
