,IVV,IEF
2003-09-30,0.0007910711620103228,0.000707561705341504
2003-10-31,0.0008592735743032895,0.0008256808174749218
2003-11-30,0.0007915964307412154,0.0007114150258464248
2003-12-31,0.0007912889022229463,0.000710801758521425
2004-01-31,0.0008915733224345648,0.0008084071167395961
2004-02-29,0.0008214308180024541,0.0006930071356704778
2004-03-31,0.0007227314161132587,0.0005911824314501154
2004-04-30,0.0010215040092097765,0.0008915527954302027
2004-05-31,0.000886762038537028,0.0008064362221529652
2004-06-30,0.0006861240074154535,0.0006061613747593639
2004-07-31,0.0008838184896700041,0.0008059624244591404
2004-08-31,0.0010846345685928357,0.0010071443457851028
2004-09-30,0.0011856744694318329,0.0011070545210118679
2004-10-31,0.0011880430359553426,0.0011059039408708698
2004-11-30,0.0011859462449756155,0.0011063277748504428
2004-12-31,0.0015545848440907742,0.0015175582019536769
2005-01-31,0.001683423492647847,0.001606589083829376
2005-02-28,0.0016832967375469516,0.0016062182351093276
2005-03-31,0.001682552743019298,0.0016058932184216783
2005-04-30,0.002184852759210342,0.0021055514425720964
2005-05-31,0.0021540120213378615,0.002116466256771602
2005-06-30,0.002482724508603566,0.0024056510028103864
2005-07-31,0.0023824181152064593,0.0023052504306533272
2005-08-31,0.0024527275225618766,0.002415325659919567
2005-09-30,0.0030521297036431574,0.003015407898292815
2005-10-31,0.0029239790731349553,0.002925393835708016
2005-11-30,0.0027533676480288,0.0027155341480122374
2005-12-31,0.003154432397873086,0.0031152475666867585
2006-01-31,0.0032261275079835767,0.0032244387230668157
2006-02-28,0.003555018672266645,0.0035151346875972817
2006-03-31,0.0034825308783771416,0.003406029028239974
2006-04-30,0.00380944067142722,0.0036973229805610085
2006-05-31,0.003707882634379789,0.003597403692086622
2006-06-30,0.004379409468387025,0.004305922498034313
2006-07-31,0.004078317712245787,0.00400586111636143
2006-08-31,0.004077575769596728,0.004006013448352033
2006-09-30,0.004280873055662087,0.004205021906621062
2006-10-31,0.004180617107739454,0.004104961889786332
2006-11-30,0.004179921254514525,0.0041047069745883255
2006-12-31,0.004280443170163321,0.004205224869875751
2007-01-31,0.004081257350432421,0.004005142864985802
2007-02-28,0.004485301073120446,0.00440379768548901
2007-03-31,0.003889252317938701,0.0038028936696875787
2007-04-30,0.004422022281486664,0.00429355648237175
2007-05-31,0.004524579110672009,0.004392000598916716
2007-06-30,0.004233398093191243,0.004089185445607963
2007-07-31,0.004098910297646974,0.003998646860564919
2007-08-31,0.0040640536912031075,0.00400904849988374
2007-09-30,0.0043055117357524405,0.004196823472573472
2007-10-31,0.0033129137580763576,0.0031942831848328383
2007-11-30,0.0033148350052145835,0.003193576601755679
2007-12-31,0.003515331880269698,0.0033936511635244008
2008-01-31,0.0027706029660104375,0.0027075135871423702
2008-02-29,0.00212479815107979,0.0021220338577126944
2008-03-31,0.0012754051449919176,0.0013367644435683854
2008-04-30,0.001672625790036533,0.0017369681482323786
2008-05-31,0.0018402102875786398,0.0018236632249853137
2008-06-30,0.0019436313289650006,0.0018042149738492044
2008-07-31,0.0017640192793029095,0.001723669299954473
2008-08-31,0.0015669020138794035,0.00152403612034017
2008-09-30,0.0014889874097402651,0.0013002348295761993
2008-10-31,0.0016998447853625261,0.0014988077696289873
2008-11-30,0.001011461499270473,0.0008002275100964662
2008-12-31,0.0005158367668316293,0.00029914712882665896
2009-01-31,8.22086741267984e-05,2.605000606310669e-05
2009-02-28,0.00022097640433467312,-9.776488639029063e-07
2009-03-31,0.00018275470205120518,0.00012683303629591435
2009-04-30,0.00042271479347078076,0.00019898237505824022
2009-05-31,0.00046418161260927785,7.082376984895726e-05
2009-06-30,0.00036553960315695847,-2.917091426003995e-05
2009-07-31,0.0004687420911076923,7.036998203957999e-05
2009-08-31,0.0004692355915271078,6.967856417609617e-05
2009-09-30,0.00047067171982246447,6.943540114140222e-05
2009-10-31,0.00047336704355105516,6.88306059737529e-05
2009-11-30,0.00037271322683493413,-3.164712265001352e-05
2009-12-31,0.0003719831545573741,-3.1860704127061416e-05
2010-01-31,0.00047794238549182235,6.649016386067981e-05
2010-02-28,0.00038656858587545156,-3.603262553171722e-05
2010-03-31,0.00023791743632185617,-5.373242173177207e-06
2010-04-30,0.0004934009125725176,6.219373049270161e-05
2010-05-31,0.0004953475421077343,6.113359420696138e-05
2010-06-30,0.0003403273670209164,9.359208881436837e-05
2010-07-31,0.00018437796823870628,0.0001265367607170548
2010-08-31,0.0003405565566302946,9.430824598553078e-05
2010-09-30,0.00018397635425904983,0.00012841825233736822
2010-10-31,0.00034005460625454673,9.496907327319547e-05
2010-11-30,0.000340401857921436,9.493803670689825e-05
2010-12-31,0.0004986775565324366,5.997341587243572e-05
2011-01-31,0.0003407879685975342,9.421928943083988e-05
2011-02-28,0.00033980951161350747,9.394168403226456e-05
2011-03-31,0.0003395795709260814,9.355656600334708e-05
2011-04-30,0.0004983086496242564,5.792782548823933e-05
2011-05-31,0.0002532237215454407,-8.680511626097823e-06
2011-06-30,0.00025761692145938856,-9.721124352229249e-06
2011-07-31,0.0002617740735914926,-1.0902737235922292e-05
2011-08-31,0.00044617945898804706,-5.35738046362197e-05
2011-09-30,0.00018656531866457482,0.00012875706159711894
2011-10-31,8.644506587580827e-05,2.8738439212788797e-05
2011-11-30,0.00026985301407269447,-1.3400463658921587e-05
2011-12-31,0.00026842677321726555,-1.3017427139295289e-05
2012-01-31,0.00026855899599310295,-1.306207425328814e-05
2012-02-29,0.0002689821048710083,-1.313469058267505e-05
2012-03-31,0.0004540448963765371,-5.700841151230872e-05
2012-04-30,0.0006403319636585942,-0.00010079367841214652
2012-05-31,0.0004528660873352231,-5.709786136635757e-05
2012-06-30,0.0005486375578708467,4.368206881516984e-05
2012-07-31,0.00044801612555508464,-5.6422054921582964e-05
2012-08-31,0.0004469751387351775,-5.583745417848833e-05
2012-09-30,0.0005425833401606925,4.543770553734528e-05
2012-10-31,0.0005417543661074438,4.588723927877968e-05
2012-11-30,0.0007128672393260751,6.696531822428847e-06
2012-12-31,0.0005344361642629565,4.7214328241842194e-05
2013-01-31,0.0005263390134456195,4.957432807635239e-05
2013-02-28,0.00042489686835759543,-4.998738734884052e-05
2013-03-31,0.00025270050949336,-1.1464337562205067e-05
2013-04-30,0.0002536224898061398,-1.0483234444508892e-05
2013-05-31,0.0005886829964959414,-8.535045663029118e-05
2013-06-30,0.0005824621668321258,-8.361849756378015e-05
2013-07-31,0.00040655574895746567,-4.35995734053836e-05
2013-08-31,0.00020909011143116903,-5.6728013367076316e-06
2013-09-30,0.00042665845806641646,-7.022568386279044e-05
2013-10-31,0.0002531532599042118,-3.068553162049582e-05
2013-11-30,0.00024423862834927786,-3.098419335532411e-05
2013-12-31,0.00013368610338295055,-2.140441565066514e-06
2014-01-31,0.00021121996022944054,-2.8247523735763968e-05
2014-02-28,0.0001107727231723216,-3.0834456700783436e-06
2014-03-31,0.00026578475748001386,-5.4784672012553666e-05
2014-04-30,0.00017919797446216794,-2.872645612143344e-05
2014-05-31,9.860409136445031e-05,-3.8030824760999452e-06
2014-06-30,0.00024782445193728887,-5.274076234163973e-05
2014-07-31,0.00017063867061926295,-2.7785004804119914e-05
2014-08-31,0.000243080558868202,-5.176340464130617e-05
2014-09-30,0.00016996514049950136,-2.789960889479599e-05
2014-10-31,2.1299055084558443e-05,1.9684238078846856e-05
2014-11-30,9.425763041103734e-05,-4.054221987705828e-06
2014-12-31,0.00016689503708226875,-2.820110693514679e-05
2015-01-31,0.0001649860671131854,-2.7984043599108544e-05
2015-02-28,9.387231415265518e-05,-3.3235084449487397e-06
2015-03-31,0.00016638336335292645,-2.7232573888615618e-05
2015-04-30,9.028408820970394e-05,-1.882660380690473e-06
2015-05-31,8.590030679864294e-05,-5.678249293395797e-07
2015-06-30,0.0002116360560628468,-4.463189055033583e-05
2015-07-31,8.223371291298648e-05,-5.2833156851590134e-08
2015-08-31,0.00015355101143405607,-2.209609030493289e-05
2015-09-30,0.00015492727034100462,-2.250844946323278e-05
2015-10-31,0.00015521130470846879,-2.3095169872483262e-05
2015-11-30,8.90131337879577e-05,-1.2622476147940787e-06
2015-12-31,0.00015908406362657909,-2.3717819961032927e-05
2016-01-31,0.0002633416114134092,7.595734665929436e-05
2016-02-29,0.00012443175663575965,0.00011818231957649378
2016-03-31,0.00022468863757182567,0.00021823413945272837
2016-04-30,0.0002941556085012432,0.00019702339725750692
2016-05-31,0.00012466897425747003,0.00011810753539355287
2016-06-30,0.00012493319385744052,0.00011804379615625165
