,Index,Rfree
1871-03,0.007729335385943173,0.00031254119728445375
1871-06,0.020251969696621658,0.0004748371650717048
1871-09,0.017491655833703944,0.00023779823380336542
1871-12,0.03954857462845898,0.0013058416187782243
1872-03,0.01487370985185045,0.0008992298556728047
1872-06,0.01943280001259604,0.0006136060082278639
1872-09,0.006004808992661525,0.0005924224281147137
1872-12,0.014561121171928813,0.0005975156901705599
1873-03,0.00902153057842286,0.0006398799366547862
1873-06,0.009101791458817742,0.0012196345080938522
1873-09,0.04357538065481694,0.00023106781111468852
1873-12,0.09339449219171807,0.0009023338258833777
1874-03,0.03493939776872172,0.0014155956343532574
1874-06,0.01290610895162971,0.00023170958835001468
1874-09,0.008468558299948166,6.421059102671445e-05
1874-12,0.007934511528771743,0.00023855467577336045
1875-03,0.008355768882265108,0.00033302602500905775
1875-06,0.026233011155646416,0.0005020401710354794
1875-09,0.0072999493601635145,0.00023469767787517626
1875-12,0.016148863647012537,0.00019821789357505877
1876-03,0.011666091107504327,0.0005127575775484293
1876-06,0.017384989422401128,0.00017310208933844017
1876-09,0.02467330857028331,0.000452117610067705
1876-12,0.007844037445617066,0.00035332279858509024
1877-03,0.02724605623447978,0.0005320592072316765
1877-06,0.041568353144942415,0.000176315058914433
1877-09,0.013452862093814995,0.0006562446190255584
1877-12,0.018714174493534495,0.0004173595572165563
1878-03,0.020217896100673663,0.00019975234666956993
1878-06,0.01279767308431607,0.00031548745352760613
1878-09,0.016760639133507046,8.948929172439208e-05
1878-12,0.004316510566359955,0.00030815418218807283
1879-03,0.030705054458286574,0.00046313856817731486
1879-06,0.02050789034485957,0.00037568115914074447
1879-09,0.014757142878010074,0.0006456084984983805
1879-12,0.05551658289687968,0.0001764341236836005
1880-03,0.011688343485100516,0.00025880752178662265
1880-06,0.042543095528220366,0.00013221321164442437
1880-09,0.025242789792577044,0.0002313374159101807
1880-12,0.011788557286780322,0.00011868164699452619
1881-03,0.03307213977375839,0.0002954866043213017
1881-06,0.024616290975902476,0.0005733593986323066
1881-09,0.022297565096018598,0.0005435166357466286
1881-12,0.017998440986484798,0.00025038836501190166
1882-03,0.010276489075662176,0.00032638831678436815
1882-06,0.006073015546603401,0.00030155817570301957
1882-09,0.023379897922654814,0.0003800530664701091
1882-12,0.024484662881678707,9.450044091607911e-05
1883-03,0.017349698512733755,0.00019272865208197075
1883-06,0.019349030474431317,0.00038121778552423327
1883-09,0.028189959615077788,0.00033243194792318
1883-12,0.022904909349671047,0.0001322132116444245
1884-03,0.028525487156975525,0.00029408558844889587
1884-06,0.022025233290256976,0.0001697802501274318
1884-09,0.04806080050271341,0.00016636205496847322
1884-12,0.01527506237882109,0.00013221321164442437
1885-03,0.026865284252101513,0.00018628025481336798
1885-06,0.0047572518083634635,0.0002949141117907607
1885-09,0.03554894415418047,6.864643714959515e-05
1885-12,0.04009665863971781,0.00025773435937026333
1886-03,0.01999758264464366,0.00022644278158805004
1886-06,0.03611065239718421,0.00014050029655959212
1886-09,0.009326050618328321,0.0005523561652895109
1886-12,0.02944671412012453,9.221894237808924e-05
1887-03,0.018768655841595133,0.0004305473260862272
1887-06,0.028374132399382346,6.70994287109311e-05
1887-09,0.00687423739118851,0.0004891230247425826
1887-12,0.02635735990837614,0.00043925656891312723
1888-03,0.02338599781854214,0.00043049157947630057
1888-06,0.023482132163414278,0.00021917420772831218
1888-09,0.0023587570804890043,0.00010431203190428233
1888-12,0.008258096152856626,0.00019689337215863818
1889-03,0.021284141289535725,0.0002660457354165509
1889-06,0.014694834535210982,0.0002444183571938353
1889-09,0.02320164386740214,0.00047478872494335146
1889-12,0.006468663429446269,0.0003065729929396914
1890-03,0.012039258447482305,0.0004016619640111984
1890-06,0.024956982292393695,0.0001779222676714
1890-09,0.008184117268062471,0.00024175262838971044
1890-12,0.024799866097362896,0.0003981473763989071
1891-03,0.03536646887878885,0.0008717432726057211
1891-06,0.02741882185657496,0.00011133732527773419
1891-09,0.048820475881191205,9.311462470167265e-05
1891-12,0.02317691703645747,0.00027458574859838113
1892-03,0.00834506244406656,0.00042269413685705796
1892-06,0.002742766795798945,0.00030599727667633453
1892-09,0.019906546011939395,0.00037305406221261445
1892-12,0.016137586118485422,0.00018776936207308496
1893-03,0.027688090802693053,0.00020376538796697843
1893-06,0.04429623700310457,0.0004254186173641203
1893-09,0.08250987135581125,0.0009725314048056921
1893-12,0.03403958793205076,0.001450087698497347
1894-03,0.02560767855913068,0.0001325003144650357
1894-06,0.025270261816223678,6.279331174575831e-05
1894-09,0.02950469650631334,5.9138256089720266e-05
1894-12,0.01605708146478283,0.0002156324032545512
1895-03,0.007535637385269556,0.0002804211119013688
1895-06,0.01800595573353805,0.000498738742563011
1895-09,0.005616448806509396,0.0003166770173746958
1895-12,0.022217473960760518,0.00030077455566143447
1896-03,0.03228700320831285,0.0004968581286443852
1896-06,0.013657119137001808,0.0003053719044051042
1896-09,0.06557060591408223,0.0013783201127943148
1896-12,0.052547949005051546,0.0012741220506686164
1897-03,0.006278131487653139,0.0002705124766069027
1897-06,0.038832197018812006,8.487048957087511e-05
1897-09,0.010895883372410242,0.00022165814519961428
1897-12,0.031911000418123364,0.00032729344631385457
1898-03,0.03648669312364186,0.00011081666541334532
1898-06,0.042296274333616594,0.0004688084185819763
1898-09,0.021203299924179124,0.00017507712586171826
1898-12,0.04208972569175916,0.00032383792242416575
1899-03,0.03121182880476457,5.965176722724428e-05
1899-06,0.027470575527994746,9.744913202965623e-05
1899-09,0.024053503179999797,0.00039082988626766997
