yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1988,277.72,9.750,23.750,0.4652835740,0.0807,0.0957,0.1065,0.0918,0.0264624118,-0.02140574745,0.064420,0.0441941075,0.1146444012,0.0966658520,0.1070412094,0.0292620227,-0.0022913172,0.0350657640,0.1696176223,0.1205681128
1989,353.40,11.055,22.870,0.3904547436,0.0763,0.0886,0.0982,0.0816,0.0352678780,-0.01233353652,0.084528,0.0464730290,0.0977872384,0.1809749975,0.1623136341,0.0172388840,-0.0029288342,0.0351660102,0.3137065182,0.2675140170
1990,330.22,12.086,21.340,0.4844968599,0.0674,0.0905,0.1043,0.0844,0.0374867110,-0.00184590751,0.078775,0.0610626487,0.0783453264,0.0616924995,0.0678273490,0.0254501897,-0.0023382328,0.0335112209,-0.0319220979,-0.0661856817
1991,417.09,12.203,15.970,0.4203444173,0.0407,0.0831,0.0926,0.0730,0.0315116671,0.03181238443,0.059896,0.0306427504,0.1527669525,0.1926493998,0.1988896677,0.0206796799,-0.0012532164,0.0314246619,0.3067168478,0.2659830413
1992,435.71,12.385,19.090,0.3941096142,0.0322,0.0798,0.0881,0.0726,0.0204442513,0.03882868781,0.037205,0.0290065265,0.1501948818,0.0805357964,0.0939343374,0.0094224632,-0.0011115236,0.0327864780,0.0772104674,0.0459159165
1993,466.45,12.577,21.890,0.3052672229,0.0306,0.0693,0.0769,0.0654,0.0330237451,0.04572686991,0.030825,0.0274841438,0.1441150718,0.1823458183,0.1318500400,0.0074178836,-0.0010124970,0.0341523747,0.0989144265,0.0685846068
1994,459.27,13.170,30.600,0.2915683000,0.0560,0.0846,0.0910,0.0799,0.0431054900,0.01659429260,0.038849,0.0267489712,0.1203902847,-0.0777707763,-0.0576106963,0.0096522841,-0.0005760069,0.0356859659,0.0136065844,-0.0148770250
1995,615.93,13.788,33.960,0.2550263829,0.0514,0.0682,0.0749,0.0603,0.0429332491,0.01552651733,0.056353,0.0253841015,0.1212407197,0.3165649287,0.2720423547,0.0064271508,-0.0001466042,0.0366419562,0.3768442637,0.3427537584
1996,740.74,14.899,38.730,0.2073427297,0.0491,0.0720,0.0789,0.0673,0.0468920602,0.02412568672,0.051672,0.0332247557,0.1986658641,-0.0091845538,0.0140156703,0.0140776119,-0.0003967552,0.0388240059,0.2321794224,0.2053702454
1997,970.43,15.497,39.720,0.1788008842,0.0516,0.0676,0.0732,0.0602,0.0434550941,0.01555947129,0.050764,0.0170239596,0.1427001167,0.1586593709,0.1294942161,0.0332000720,-0.0008887790,0.0402194179,0.3360781261,0.3126753273
1998,"1,229.23",16.195,37.710,0.1736113154,0.0439,0.0622,0.0723,0.0542,0.0317511648,0.02005702943,0.050374,0.0161190329,0.1206586034,0.1307040369,0.1075556400,0.0412581205,-0.0010338728,0.0421038768,0.2930100822,0.2739196453
1999,"1,469.25",16.692,48.170,0.1471672594,0.0520,0.0755,0.0819,0.0682,0.0313429267,0.01788875647,0.045972,0.0268456376,0.1384560500,-0.0898988411,-0.0745425946,0.0326778587,0.0000642780,0.0425742621,0.2135264330,0.1979481708
2000,"1,320.28",16.271,50.000,0.1518515036,0.0577,0.0721,0.0802,0.0558,0.0322253915,-0.00226174722,0.057655,0.0338680927,0.1409895614,0.2149343724,0.1285453653,0.0492165622,-0.0005248530,0.0429397520,-0.0850949048,-0.0954809376
2001,"1,148.08",15.740,24.690,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.0266013472,0.01346482468,0.041411,0.0155172414,0.0865431157,0.0370275224,0.1063665718,0.0456056965,-0.0013361672,0.0375307984,-0.1191014456,-0.1306928430
2002,879.82,16.074,27.590,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.0117484034,0.02573598142,0.017134,0.0237691002,0.0820276580,0.1784139276,0.1664151752,0.0676923214,-0.0041443054,0.0340899458,-0.2177764990,-0.2305614561
2003,"1,111.92",17.385,48.740,0.2187398648,0.0090,0.0562,0.0660,0.0515,0.0084398378,0.00694631571,0.010491,0.0187949143,0.0724230891,0.0089593956,0.0527255506,0.0292607783,NaN,0.0350679266,0.2869214954,0.2638960443
2004,"1,211.92",19.442,58.550,0.2706192427,0.0219,0.0547,0.0615,0.0484,0.0053558055,0.01300150465,0.011952,0.0325556158,0.0782974619,0.0849731844,0.0872115434,0.0122914909,NaN,0.0359040730,0.1096903698,0.0873818277
2005,"1,248.29",22.216,69.830,0.3134779566,0.0389,0.0537,0.0632,0.0461,0.0200689226,0.00305888565,0.028599,0.0341565949,0.0510712081,0.0780755925,0.0587227306,0.0105405870,NaN,0.0364217371,0.0520746246,0.0328733864
2006,"1,418.30",24.884,81.510,0.2816823997,0.0485,0.0532,0.0622,0.0491,0.0208887730,-0.01503677909,0.045763,0.0254065041,0.0491233387,0.0117595391,0.0323553591,0.0100616231,NaN,0.0375131111,0.1568015249,0.1350875055
2007,"1,468.36",27.732,66.181,0.2505829731,0.0300,0.0549,0.0665,0.0450,0.0187677511,-0.04063729412,0.046513,0.0408126858,0.0777264970,0.0989279628,0.0258900171,0.0253597670,NaN,0.0382528081,0.0571846444,0.0372618176
2008,903.25,28.387,14.880,0.3549842247,0.0003,0.0505,0.0843,0.0303,0.0204690284,-0.02449846355,0.018242,0.0009141290,0.2174037369,0.2586177059,0.0878964639,0.1684885729,NaN,0.0338411737,-0.3645955341,-0.3796075360
2009,"1,115.10",22.405,50.970,0.2163645169,0.0005,0.0526,0.0637,0.0458,-0.0041116123,0.01059446795,0.001351,0.0272133113,0.1971352378,-0.1489827269,0.0300122642,0.0743955185,NaN,0.0296364243,0.2648018134,0.2329098081
2010,"1,257.64",22.729,77.350,0.3581003169,0.0014,0.0502,0.0610,0.0414,-0.0078864287,0.01261184894,0.001175,0.0149572353,0.1297016669,0.1014366100,0.1243873938,0.0325325193,NaN,0.0316009526,0.1515208413,0.1269736392
2011,"1,257.60",26.425,86.950,0.3572325407,0.0001,0.0393,0.0525,0.0248,-0.0020240023,-0.00649733119,0.000725,0.0296241884,0.1281862432,0.2709624543,0.1793964059,0.0539548749,NaN,0.0337943513,0.0182308229,-0.0028457129
2012,"1,426.19",31.247,86.510,0.3490324432,0.0007,0.0365,0.0463,0.0241,-0.0094156244,-0.01154911760,0.000725,0.0174102237,0.1164981008,0.0343861794,0.1067484693,0.0161764598,NaN,0.0344004422,0.1609611493,0.1340921981
2013,"1,848.36",34.992,100.200,0.3044081256,0.0007,0.0462,0.0538,0.0367,0.0012189640,0.01214394227,0.000575,0.0150173562,0.1286622783,-0.1278608842,-0.0707949250,0.0124830373,NaN,0.0349254723,0.3252630721,0.2972484631
2014,"2,058.90",39.443,102.310,0.3237556717,0.0003,0.0379,0.0474,0.0240,-0.0071770441,0.00562503854,0.000450,0.0075649327,0.1093213101,0.2474171485,0.1727406685,0.0129295206,NaN,0.0358134129,0.1352589684,0.1121018492
2015,"2,043.94",43.388,86.530,0.3136488144,0.0023,0.0397,0.0546,0.0243,-0.0194403730,-0.02226183288,0.000250,0.0072951979,0.1032531699,-0.0064065860,-0.0100959664,0.0239104103,NaN,0.0343329294,0.0149517841,-0.0067118464
2016,"2,238.83",45.701,94.550,0.2934790969,0.0051,0.0406,0.0483,0.0272,-0.0195198157,-0.02510357356,0.002703,0.0207462213,0.0895416713,0.0176107464,0.0670080523,0.0171191411,NaN,0.0339504066,0.1179322751,0.0933050350
2017,"2,673.61",48.932,109.880,0.2353933431,0.0132,0.0351,0.0422,0.0254,-0.0235466477,-0.01987887466,0.008174,0.0210908247,0.0774603489,0.0623423356,0.1224353369,0.0045630633,NaN,0.0343006709,0.2198912017,0.1953104447
2018,"2,506.85",53.748,132.390,0.2680887675,0.0237,0.0402,0.0513,0.0284,-0.0272351454,-0.01922790932,0.017741,0.0191015885,0.0810688685,-0.0056235937,-0.0473620168,0.0288550336,NaN,0.0350101120,-0.0449191592,-0.0635350834
2019,"3,230.78",58.240,139.470,0.2299438976,0.0154,0.0301,0.0388,0.0186,-0.0385679255,-0.00719915547,0.022258,0.0228512974,0.0939276659,0.1216522189,0.1993938661,0.0157576409,NaN,0.0346739720,0.3149939291,0.2889905296
2020,"3,756.07",58.279,94.130,0.2191947588,0.0009,0.0226,0.0316,0.0093,-0.1694588224,-0.00009788252,0.005256,0.0136200549,0.1281437002,0.1666118394,0.1539489923,0.1187270212,NaN,0.0323528759,0.1930435803,0.1712703769
2021,"4,766.18",60.397,197.840,0.1797857907,0.0006,0.0265,0.0330,0.0146,-0.1460868844,0.01297002296,0.000500,0.0703640287,0.1634777584,-0.0542750134,-0.0265259132,0.0173309194,NaN,0.0334017899,0.2847567980,0.2668308218
