yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1882,5.84,0.320,0.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,5.34,0.330,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1884,4.34,0.310,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1885,5.20,0.240,0.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033202,NaN,NaN,NaN,NaN,0.0237389033,NaN,NaN,NaN,NaN
1886,5.64,0.220,0.330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036061,NaN,NaN,NaN,NaN,0.0164586021,NaN,NaN,NaN,NaN
1887,5.27,0.250,0.360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048302,NaN,NaN,NaN,NaN,0.0182984598,NaN,NaN,NaN,NaN
1888,5.14,0.230,0.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042261,NaN,NaN,NaN,NaN,0.0128506019,NaN,NaN,NaN,NaN
1889,5.32,0.220,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037429,NaN,NaN,NaN,NaN,0.0068740375,NaN,NaN,NaN,NaN
1890,4.60,0.220,0.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045899,NaN,NaN,NaN,NaN,0.0226210589,NaN,NaN,NaN,NaN
1891,5.41,0.220,0.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049378,NaN,NaN,NaN,NaN,0.0161235317,NaN,NaN,NaN,NaN
1892,5.51,0.240,0.370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032520,NaN,NaN,NaN,NaN,0.0108861598,NaN,NaN,NaN,NaN
1893,4.41,0.250,0.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.061334,NaN,NaN,NaN,NaN,0.0545843904,NaN,NaN,NaN,NaN
1894,4.30,0.210,0.160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024408,NaN,NaN,NaN,NaN,0.0167387383,NaN,NaN,NaN,NaN
1895,4.32,0.190,0.250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025668,NaN,NaN,NaN,NaN,0.0286897057,NaN,NaN,NaN,NaN
1896,4.22,0.180,0.210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046288,NaN,NaN,NaN,NaN,0.0464332345,NaN,NaN,NaN,NaN
1897,4.75,0.180,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027567,NaN,NaN,NaN,NaN,0.0227515174,NaN,NaN,NaN,NaN
1898,5.65,0.200,0.350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030143,NaN,NaN,NaN,NaN,0.0324244079,NaN,NaN,NaN,NaN
1899,6.02,0.210,0.480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029507,NaN,NaN,NaN,NaN,0.0270965419,NaN,NaN,NaN,NaN
1900,6.87,0.300,0.480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037767,NaN,NaN,NaN,NaN,0.0171601144,NaN,NaN,NaN,NaN
1901,7.95,0.320,0.500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034588,NaN,NaN,NaN,NaN,0.0372929866,NaN,NaN,NaN,NaN
1902,8.05,0.330,0.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.039023,NaN,NaN,NaN,NaN,0.0133930277,NaN,NaN,NaN,NaN
1903,6.57,0.350,0.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046701,NaN,NaN,NaN,NaN,0.0247455819,NaN,NaN,NaN,NaN
1904,8.25,0.310,0.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037016,NaN,NaN,NaN,NaN,0.0126688400,NaN,NaN,NaN,NaN
1905,9.54,0.330,0.670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033000,NaN,NaN,NaN,NaN,0.0156370054,NaN,NaN,NaN,NaN
1906,9.84,0.400,0.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.047180,NaN,NaN,NaN,NaN,0.0170919239,NaN,NaN,NaN,NaN
1907,6.57,0.440,0.660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.051266,NaN,NaN,NaN,NaN,0.0479790573,NaN,NaN,NaN,NaN
1908,9.03,0.400,0.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042991,NaN,NaN,NaN,NaN,0.0200521094,NaN,NaN,NaN,NaN
1909,10.30,0.440,0.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028697,NaN,NaN,NaN,NaN,0.0100348557,NaN,NaN,NaN,NaN
1910,9.05,0.470,0.730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040689,NaN,NaN,NaN,NaN,0.0189077751,NaN,NaN,NaN,NaN
1911,9.11,0.470,0.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033204,NaN,NaN,NaN,NaN,0.0077835738,NaN,NaN,NaN,NaN
1912,9.38,0.480,0.700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036837,NaN,NaN,NaN,NaN,0.0064542955,NaN,NaN,NaN,NaN
1913,8.04,0.480,0.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048444,NaN,NaN,NaN,NaN,0.0106753434,NaN,NaN,NaN,NaN
1914,7.35,0.420,0.520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040743,0.0100000000,NaN,NaN,NaN,0.0116005586,NaN,NaN,NaN,NaN
1915,9.48,0.430,0.880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028425,0.0198019802,NaN,NaN,NaN,0.0191049431,NaN,NaN,NaN,NaN
1916,9.80,0.560,1.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025152,0.1262135922,NaN,NaN,NaN,0.0178324743,NaN,NaN,NaN,NaN
1917,6.80,0.690,1.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036474,0.1810344828,NaN,NaN,NaN,0.0355615676,NaN,NaN,NaN,NaN
1918,7.90,0.570,0.990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048008,0.2043795620,NaN,NaN,NaN,0.0153612580,NaN,NaN,NaN,NaN
1919,8.92,0.530,0.930,NaN,NaN,0.0573,0.0777,0.0490,NaN,NaN,0.045351,0.1454545455,NaN,NaN,NaN,0.0245407923,NaN,NaN,NaN,NaN
1920,6.81,0.510,0.800,NaN,0.0588,0.0626,0.0856,0.0540,NaN,NaN,0.053759,0.0264550265,NaN,NaN,NaN,0.0334077996,NaN,NaN,NaN,NaN
1921,7.31,0.460,0.290,0.5965346535,0.0390,0.0550,0.0761,0.0447,NaN,NaN,0.053540,-0.1082474227,NaN,NaN,NaN,0.0190191204,NaN,NaN,NaN,NaN
1922,8.78,0.510,0.690,0.4726494856,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.035564,-0.0231213873,NaN,NaN,NaN,0.0147131012,NaN,NaN,NaN,NaN
1923,8.55,0.530,0.980,0.5402010050,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.039625,0.0236686391,NaN,NaN,NaN,0.0156969065,NaN,NaN,NaN,NaN
1924,10.16,0.550,0.930,0.4588830802,0.0257,0.0495,0.0646,0.0396,NaN,NaN,0.030409,0.0000000000,NaN,NaN,NaN,0.0107215617,NaN,NaN,NaN,NaN
1925,12.46,0.600,1.250,0.3893782714,0.0351,0.0485,0.0615,0.0380,NaN,NaN,0.028754,0.0346820809,NaN,NaN,NaN,0.0135285056,NaN,NaN,NaN,NaN
1926,13.49,0.690,1.240,0.4414758270,0.0307,0.0468,0.0568,0.0354,NaN,0.05087617732,0.032898,-0.0111731844,NaN,0.0776952395,0.0737444051,0.0164862252,NaN,NaN,0.1220046023,0.0660310232
1927,17.66,0.770,1.110,0.3746885899,0.0317,0.0446,0.0532,0.0316,NaN,0.07647110927,0.030390,-0.0225988701,0.2655123544,0.0894486276,0.0744363694,0.0094190648,NaN,NaN,0.3587916451,0.2945602471
